# Detected language: en (p=1.00)

[0.00s -> 6.12s]  Great.
[3975.96s -> 3977.44s]  log likelihood of predicting that.
[3977.44s -> 3979.60s]  And that gives very different answers.
[3979.60s -> 3981.40s]  So if you look at the top right,
[3981.40s -> 3983.60s]  you see that LAMAS 65B,
[3983.60s -> 3986.70s]  MMLU on Helm was 63.7,
[3986.70s -> 3989.16s]  and the original MMLU was 63.6,
[3989.16s -> 3991.00s]  but on Harness,
[3991.00s -> 3994.50s]  which is the thing that actually Hugging Face uses,
[3994.50s -> 3995.48s]  is 48.8.
[3995.52s -> 3997.32s]  So that's like a huge difference.
[3997.32s -> 3998.16s]  Yeah?
[3998.16s -> 3999.46s]  What is Helm, Harness, and original,
[3999.46s -> 4001.88s]  it matches to these three things there?
[4001.88s -> 4004.36s]  Yeah, I can't remember which one does what,
[4004.36s -> 4006.44s]  but each of them does something different.
[4006.44s -> 4008.00s]  Actually, now it's not true anymore,
[4008.00s -> 4011.04s]  so the middle column changed what they are doing,
[4011.04s -> 4013.64s]  so they start matching the other two ones.
[4013.64s -> 4015.28s]  But at that time, they weren't.
[4016.28s -> 4017.72s]  I'm not sure which one.
[4017.72s -> 4022.72s]  My guess would be that they did the last one,
[4023.08s -> 4024.44s]  but I'm not entirely sure.
[4025.48s -> 4028.84s]  Okay, questions?
[4031.28s -> 4032.60s]  Cool.
[4032.60s -> 4034.18s]  Another issue, contamination.
[4035.18s -> 4037.56s]  So here you have Harness here.
[4037.56s -> 4039.80s]  If you don't follow him on Twitter, you should.
[4040.96s -> 4043.80s]  And he basically said that he was looking at
[4043.80s -> 4045.68s]  like code benchmarks,
[4045.68s -> 4049.92s]  and he was saying that pre-2021,
[4049.92s -> 4050.88s]  I can't remember which one,
[4050.88s -> 4053.36s]  or GPT-4, was getting 10 out of 10
[4053.36s -> 4054.90s]  on questions on Codeforce,
[4055.38s -> 4057.66s]  but after 2021, or like more recent problems,
[4057.66s -> 4059.10s]  it was getting zero out of 10,
[4059.10s -> 4062.38s]  which seems very, very strange.
[4062.38s -> 4063.90s]  So that really strongly points to the fact
[4063.90s -> 4064.82s]  that it was contaminated,
[4064.82s -> 4067.48s]  and the model was probably pre-trained,
[4067.48s -> 4069.78s]  or like that dataset, or the Codeforce dataset,
[4069.78s -> 4071.58s]  was probably in the pre-training dataset.
[4071.58s -> 4072.70s]  And of course, if you,
[4072.70s -> 4075.86s]  I mean, essentially you do training on your test set,
[4075.86s -> 4078.46s]  then you're gonna perform really well.
[4078.46s -> 4081.74s]  And Suzanne said also to follow,
[4081.74s -> 4085.62s]  also said something similar for PHY 1.5,
[4086.48s -> 4088.14s]  which is a model from Microsoft.
[4089.26s -> 4092.74s]  So what is challenging here is that with closed models,
[4092.74s -> 4094.60s]  I mean, there are two things actually that are challenging.
[4094.60s -> 4097.30s]  One is that those are pre-trained on so much data
[4097.30s -> 4098.86s]  that even if we had access to the data,
[4098.86s -> 4100.46s]  it would be hard to actually know what they,
[4100.46s -> 4102.78s]  like if they were pre-trained on your test set.
[4102.78s -> 4105.14s]  But two, those are all closed source models,
[4105.14s -> 4107.76s]  so you really don't even have access to a dataset,
[4107.76s -> 4110.26s]  so you have no idea if they were pre-trained on that data.
[4111.96s -> 4115.28s]  Overfitting issues, that's also relatively related,
[4115.28s -> 4117.18s]  but could be slightly different.
[4117.18s -> 4120.28s]  So here you see how much time it took
[4120.28s -> 4124.52s]  for standard datasets to achieve, quote,
[4124.52s -> 4127.58s]  like, square quotes, human level performance.
[4127.58s -> 4129.84s]  And what you see is that on the recent ones,
[4129.84s -> 4131.82s]  where you really have this pre-training,
[4131.82s -> 4133.62s]  in less than like six months,
[4133.62s -> 4136.98s]  you perform at human level performance.
[4136.98s -> 4140.30s]  We don't really know if it's because of the contamination,
[4140.30s -> 4142.14s]  or if it's simply that like a lot of people
[4142.14s -> 4144.90s]  are basically developing and trying to do
[4144.90s -> 4147.26s]  hyper-parameter tuning on these test sets.
[4147.26s -> 4149.06s]  We don't know why, but it's clearly an issue
[4149.06s -> 4150.32s]  with overfitting.
[4152.14s -> 4153.40s]  So how do you alleviate that?
[4153.40s -> 4155.78s]  One, you can have private test sets.
[4155.78s -> 4158.54s]  So there's a paper from I think two weeks ago
[4158.54s -> 4161.88s]  that presented GSM 1K,
[4161.88s -> 4163.82s]  which is the same thing as the GSM 8K
[4163.82s -> 4166.78s]  that we saw before, which is the math dataset,
[4166.78s -> 4170.22s]  but tries to basically regenerate
[4171.10s -> 4173.58s]  or resample this dataset, or recollect this dataset,
[4173.58s -> 4176.78s]  and then they look at how well different models
[4177.80s -> 4180.18s]  perform on both the GSM 1K and the GSM 8K.
[4180.18s -> 4182.38s]  And what you see is that at least the open-source models,
[4182.38s -> 4185.26s]  they perform much worse on a new dataset
[4185.26s -> 4188.54s]  than on the one that people are able to tune on.
[4189.62s -> 4192.94s]  This is not true though for like cloud and GPT-4.
[4193.86s -> 4197.48s]  Another one is Dynabench, or just dynamic test sets.
[4197.48s -> 4199.90s]  So ideally, every X number of days,
[4200.44s -> 4201.86s]  you would basically have new instructions
[4201.86s -> 4203.42s]  or new inputs to the models,
[4203.42s -> 4205.82s]  and your dataset would basically be dynamic.
[4205.82s -> 4208.42s]  That's essentially also what Chatbot Arena does.
[4208.42s -> 4210.50s]  So that definitely helps.
[4212.46s -> 4214.74s]  Another way of alleviating contaminators
[4214.74s -> 4217.22s]  is that you may try to estimate
[4217.22s -> 4219.58s]  or like to look at whether the models
[4219.58s -> 4221.74s]  were actually trained on your test set.
[4221.74s -> 4223.50s]  So one very simple way of doing it,
[4223.50s -> 4226.78s]  which actually works I think relatively well,
[4226.78s -> 4230.18s]  is just looking at the probability of different answers,
[4230.18s -> 4232.66s]  and you will see that if your model
[4232.66s -> 4234.58s]  is really sure about a certain answer,
[4234.58s -> 4237.18s]  then probably it was trained on that answer.
[4237.18s -> 4240.64s]  Another one, which is also really cool,
[4240.64s -> 4244.24s]  is looking at the order of your test set.
[4244.24s -> 4248.30s]  So if your model was trained or pre-trained
[4248.30s -> 4250.52s]  on the test set, then most likely,
[4250.52s -> 4253.18s]  it thinks that example two comes after example one.
[4253.18s -> 4255.54s]  So if you switch example one and example two,
[4255.54s -> 4258.02s]  and you see drops in log likelihoods,
[4258.02s -> 4259.58s]  then most likely the model was actually
[4259.58s -> 4261.08s]  pre-trained on that dataset.
[4266.06s -> 4267.26s]  Any questions here?
[4270.06s -> 4273.58s]  Okay, so another issue is that,
[4273.58s -> 4277.34s]  I mean really there's a monoculture of NLP benchmarking.
[4277.34s -> 4278.62s]  What I mean by this is mostly
[4278.62s -> 4280.78s]  the fact that we all just look at English.
[4281.70s -> 4285.30s]  And this is a paper from 2021, or 2022 I think,
[4285.94s -> 4286.82s]  but they look at ACL 2021,
[4286.82s -> 4291.82s]  which is probably the most common conference in NLP,
[4294.42s -> 4297.26s]  and they look at the best papers, so the oral papers,
[4297.26s -> 4300.58s]  and they saw that out of the 461 papers,
[4300.58s -> 4302.82s]  70% of them only look at English,
[4302.82s -> 4304.82s]  and 40% of them only look at accuracy,
[4304.82s -> 4306.42s]  so essentially just performance.
[4307.38s -> 4309.96s]  So there are very few papers that look at multi-linguality
[4309.96s -> 4313.92s]  and even efficiency on interpretability or fairness.
[4314.88s -> 4318.80s]  And there's a similar paper that analyzes
[4318.80s -> 4321.08s]  another conference in 2008,
[4321.08s -> 4322.36s]  and it was essentially the same findings.
[4322.36s -> 4325.06s]  So unfortunately it doesn't seem to improve over time.
[4327.56s -> 4330.46s]  The thing is, there are actually a lot of benchmarks
[4330.46s -> 4332.40s]  for multi-linguality.
[4332.40s -> 4336.64s]  I just hired a few here, Mega, Global, Bench, Extreme.
[4337.48s -> 4341.40s]  Those have at least 30, 40 languages,
[4341.40s -> 4343.88s]  and many, many different tasks.
[4344.72s -> 4346.52s]  So it's not that we don't have the benchmarks.
[4346.52s -> 4350.16s]  It's that there's no incentives, unfortunately,
[4350.16s -> 4351.72s]  in academia to actually train,
[4351.72s -> 4354.80s]  or sorry, to evaluate on those benchmarks.
[4355.70s -> 4359.36s]  So if you have the chance, use those benchmarks.
[4361.36s -> 4364.00s]  Another issue is that really we reduce
[4364.00s -> 4365.40s]  everything to a single metric.
[4365.40s -> 4368.20s]  So I already told you before, the way we aggregate metrics,
[4368.20s -> 4369.94s]  this is usually kind of broken
[4369.94s -> 4372.78s]  in some of these super benchmarks.
[4372.78s -> 4374.62s]  But also we only look at performance.
[4374.62s -> 4376.58s]  And in the real world, we really care
[4376.58s -> 4378.36s]  about computational efficiency too.
[4378.36s -> 4379.68s]  We also care about biases,
[4379.68s -> 4381.62s]  and we care about many other aspects,
[4381.62s -> 4385.00s]  and most of these benchmarks don't consider those.
[4385.00s -> 4387.10s]  Another part is that we usually average
[4387.10s -> 4388.74s]  across every example.
[4388.74s -> 4390.58s]  We just say that every example has the same value,
[4390.58s -> 4392.42s]  essentially the same weight.
[4392.42s -> 4395.14s]  So this is definitely unfair for minoritized groups.
[4395.14s -> 4398.30s]  But more than this, I think if,
[4398.30s -> 4400.94s]  for example, if you think about agents
[4400.98s -> 4404.26s]  where maybe one example will be how well it performs
[4404.26s -> 4409.26s]  on writing code that will actually be put in production
[4409.34s -> 4414.50s]  versus just answering your daily question
[4414.50s -> 4417.82s]  about where to buy the best burger,
[4419.42s -> 4421.50s]  the value that you will get out of these examples
[4421.50s -> 4422.34s]  are very different.
[4422.34s -> 4424.26s]  And right now, when we evaluate stuff,
[4424.26s -> 4425.30s]  we don't actually consider that.
[4425.30s -> 4427.16s]  So that's, I think, a real issue.
[4428.12s -> 4430.70s]  And also, basically, we don't take into account
[4431.34s -> 4432.86s]  that different people have different preferences.
[4433.82s -> 4435.76s]  So a few shout-outs.
[4435.76s -> 4438.08s]  One, considering computational efficiency.
[4438.08s -> 4440.26s]  So MLPerf has a great benchmark.
[4440.26s -> 4442.26s]  When basically, instead of trying to maximize
[4442.26s -> 4445.26s]  the performance on a certain benchmark,
[4445.26s -> 4448.26s]  they say, I want to achieve that performance
[4448.26s -> 4449.82s]  in the least amount of time.
[4450.86s -> 4453.90s]  So now you basically consider both accuracies
[4453.90s -> 4457.24s]  and speed, either for training or for inference.
[4458.24s -> 4462.24s]  For biases, DiscreamEval is a good data set from Entropic
[4464.28s -> 4466.84s]  where basically they have some templates.
[4468.16s -> 4469.92s]  So they try to ask questions like
[4470.84s -> 4474.10s]  knowing whether someone should keep their insurance or not,
[4474.10s -> 4476.20s]  and they have templates where they change
[4477.28s -> 4478.96s]  like the race or like the gender
[4478.96s -> 4481.56s]  in the template of the person,
[4481.56s -> 4483.88s]  and they see how the decisions
[4483.88s -> 4485.48s]  made by the model would change.
[4486.48s -> 4490.80s]  And, I mean, unfortunately but unsurprisingly,
[4490.80s -> 4492.56s]  you will see that some groups
[4492.56s -> 4495.00s]  are much more discriminated than others.
[4498.52s -> 4500.04s]  Other biases in our evaluation.
[4500.04s -> 4503.52s]  So I already told you slightly about multilingual issues,
[4503.52s -> 4505.68s]  but honestly, this issue about English
[4505.68s -> 4507.80s]  is much more prevalent than you would think.
[4507.80s -> 4510.00s]  For example, Bleu and Rusco,
[4510.00s -> 4513.28s]  they really assume that you basically have access to words.
[4513.44s -> 4515.70s]  You know how to tokenize and how to get words.
[4515.70s -> 4519.04s]  So I used to work with Thai and Vietnamese.
[4519.04s -> 4521.08s]  With Vietnamese, you have spaces in between words,
[4521.08s -> 4523.80s]  and Thai, you have no spaces between words.
[4523.80s -> 4526.52s]  You have no idea how to run like Bleu, Rusco.
[4526.52s -> 4529.24s]  Really, it's much more than just the data.
[4529.24s -> 4532.64s]  All our algorithms are really focused on English
[4532.64s -> 4534.92s]  or at least Western languages.
[4534.92s -> 4538.28s]  Biased LLM-based evaluations.
[4538.28s -> 4540.14s]  So one thing that I told you about
[4540.14s -> 4540.98s]  is that it's really cool
[4540.98s -> 4542.68s]  because now you can use essentially GPT-4
[4543.12s -> 4544.88s]  for doing labeling,
[4546.30s -> 4547.92s]  but that also means that,
[4547.92s -> 4549.92s]  given that GPT-4 is very consistent,
[4549.92s -> 4551.60s]  if it has some biases,
[4551.60s -> 4555.20s]  then most of essentially the NLP community
[4555.20s -> 4558.78s]  will have these biases scaled up essentially.
[4560.14s -> 4563.54s]  So one benchmark which tries to look at
[4563.54s -> 4567.50s]  whose opinions LLMs reflect by default.
[4567.50s -> 4570.12s]  This is actually pretty cool work that looks at
[4570.12s -> 4573.72s]  the output distribution of LLMs
[4573.72s -> 4575.36s]  on public opinion surveys.
[4575.36s -> 4578.68s]  So just trying to understand whether LLMs
[4580.68s -> 4583.36s]  reflect opinions from which groups.
[4583.36s -> 4585.84s]  And they find that at least after,
[4585.84s -> 4587.64s]  when you only do pre-training,
[4587.64s -> 4589.96s]  the models actually relatively well,
[4592.20s -> 4595.00s]  they are not too optimized to a single group.
[4595.00s -> 4596.60s]  But after, so this is in red,
[4596.60s -> 4598.22s]  but after fine-tuning,
[4598.22s -> 4600.12s]  you basically see that the models really
[4600.12s -> 4602.62s]  start being optimized for certain preferences,
[4602.62s -> 4603.46s]  which is unsurprising
[4603.46s -> 4605.88s]  because that's how we actually train the model.
[4605.88s -> 4609.30s]  And typically, these models actually
[4611.86s -> 4615.98s]  mostly show preferences from,
[4616.86s -> 4619.66s]  or actually the answer as if they were from,
[4619.66s -> 4622.62s]  I mean, white and Southeast Asian.
[4622.62s -> 4623.66s]  So I think the Southeast Asian
[4623.66s -> 4624.58s]  is actually pretty interesting.
[4624.58s -> 4626.50s]  I think it's probably because a lot of these models
[4626.50s -> 4629.98s]  were the human data that was used
[4629.98s -> 4632.58s]  for supervised fine-tuning and for LHF
[4632.58s -> 4636.66s]  was actually labeled by people in Southeast Asia,
[4636.66s -> 4638.48s]  which would explain why these models
[4638.48s -> 4640.82s]  have these type of views.
[4641.96s -> 4644.14s]  And usually also highly educated.
[4646.06s -> 4649.50s]  Okay, so this is the main challenge,
[4649.50s -> 4652.08s]  the challenges of all challenges.
[4652.08s -> 4654.74s]  We saw that there are many challenges in evaluation,
[4654.74s -> 4656.68s]  at least in academic benchmarking,
[4656.68s -> 4658.42s]  but the biggest one is that really,
[4658.42s -> 4661.52s]  there's no incentives for us to move to anything else.
[4662.86s -> 4666.58s]  And this is actually a pretty interesting paper
[4666.58s -> 4669.50s]  that looks at machine translation between,
[4669.50s -> 4671.94s]  all the papers, or many papers
[4673.50s -> 4676.18s]  from 2019 to 2020 in machine translation,
[4676.18s -> 4678.24s]  and they found that 82% of papers,
[4678.24s -> 4680.54s]  they only evaluated BLEU scores.
[4680.54s -> 4683.38s]  And as we said, BLEU scores have many, many issues.
[4683.38s -> 4688.14s]  And if you see, we know that there are many better metrics,
[4689.60s -> 4691.10s]  but still people are not incentivized
[4691.10s -> 4692.18s]  to look at anything else.
[4692.18s -> 4694.38s]  And actually, reviewers will usually ask you
[4694.38s -> 4697.40s]  to show performance on BLEU scores.
[4697.40s -> 4699.06s]  So it's not even that you're incentivized
[4699.06s -> 4699.94s]  not to look at something else,
[4699.94s -> 4701.52s]  you're also incentivized to continue.
[4701.52s -> 4702.36s]  And it kind of makes sense
[4702.36s -> 4704.02s]  because you wanna be able to compare to methods
[4704.02s -> 4705.24s]  from two, three years ago,
[4705.24s -> 4709.90s]  but it also means that it's hard for the academic field
[4709.90s -> 4711.56s]  to change to other benchmarks.
[4712.40s -> 4714.80s]  But this is really specific to academia.
[4714.80s -> 4716.68s]  In reality, if you know that your metric is bad,
[4716.68s -> 4717.50s]  just switch.
[4719.64s -> 4722.88s]  Okay, evaluation takeaways.
[4722.88s -> 4727.10s]  So first, I mentioned that there were different types
[4727.10s -> 4729.76s]  of evaluation and different desired properties
[4729.76s -> 4731.72s]  for different types of evaluation.
[4731.72s -> 4734.42s]  Then I talked about close-ended tasks
[4734.42s -> 4735.96s]  and how you evaluate those,
[4735.96s -> 4738.50s]  the fact that it's basically standard machine learning,
[4738.50s -> 4740.48s]  but that you have to think carefully
[4740.48s -> 4741.72s]  even though it's standard machine learning
[4741.72s -> 4743.48s]  of how you evaluate them.
[4743.48s -> 4746.04s]  Then there are open-ended tasks
[4746.04s -> 4747.88s]  where you look at content overlap metrics,
[4747.88s -> 4752.88s]  typically, so things like BLEU and Rouge and BERT score.
[4754.12s -> 4756.36s]  And then you have chatbot evaluations,
[4756.36s -> 4758.00s]  which is extremely difficult,
[4759.08s -> 4763.84s]  but people have started using
[4763.84s -> 4765.64s]  essentially LLM-based evaluations.
[4767.12s -> 4768.58s]  And then we talked about challenges,
[4768.58s -> 4769.84s]  one of them being consistency,
[4770.04s -> 4771.52s]  the other one contamination,
[4771.52s -> 4773.30s]  and the third one biases.
[4774.76s -> 4776.08s]  In reality, honestly,
[4776.08s -> 4779.02s]  the best evaluation is just check your outputs.
[4779.90s -> 4782.80s]  So I think too many people,
[4782.80s -> 4784.44s]  they just believe numbers.
[4784.44s -> 4788.20s]  In reality, never just believe numbers.
[4788.20s -> 4791.04s]  I remember when we did initially Alpaca,
[4791.04s -> 4793.24s]  we kind of believed our Alpaca eval,
[4793.24s -> 4795.36s]  but once we started playing with it,
[4795.36s -> 4796.20s]  that's when we were like,
[4796.20s -> 4797.14s]  okay, this thing is actually,
[4797.14s -> 4797.98s]  I mean, at that time, good.
[4797.98s -> 4799.48s]  Now it would be a pretty bad model.
[4800.06s -> 4800.90s]  But at that time, we're like,
[4800.90s -> 4802.60s]  okay, this thing is actually pretty good.
[4802.60s -> 4804.48s]  We should do something about it,
[4804.48s -> 4806.68s]  even though on maybe standard academic benchmarks,
[4806.68s -> 4807.64s]  it was pretty bad.
[4809.04s -> 4810.84s]  So yeah, don't rely on numbers.
[4810.84s -> 4814.04s]  And I'm happy to, what time is it,
[4814.04s -> 4818.30s]  to take any other questions that you may have.
[4819.40s -> 4820.24s]  Yes.
[4820.24s -> 4823.24s]  Question about, so there's this whole issue of bias,
[4823.24s -> 4825.24s]  which we're really trying to deal with,
[4825.24s -> 4827.40s]  but we're sweeping under the rug here.
[4827.40s -> 4830.68s]  So if we have a problem in which we're dealing
[4830.68s -> 4832.38s]  with a very specialized domain,
[4833.32s -> 4838.32s]  and yes, we try and go and run reference re-evals
[4839.08s -> 4841.16s]  using like, let's say GPT-4,
[4843.60s -> 4847.94s]  like, is it considered bad practice
[4847.94s -> 4851.80s]  to be checking a subset of these GPT-4 evals,
[4851.80s -> 4855.20s]  ranking them as ourselves, and then like,
[4855.20s -> 4860.20s]  and then using ourself, like inserting ourself
[4863.04s -> 4866.08s]  and our bias into this process
[4866.08s -> 4869.22s]  by actually looking at many, many, many data points.
[4870.92s -> 4872.66s]  So just to make sure I understand your question,
[4872.66s -> 4876.16s]  you're saying that if we try to look at ourselves
[4876.16s -> 4877.68s]  at the answers, we might be incorporating
[4877.68s -> 4878.72s]  some biases there.
[4878.72s -> 4881.48s]  Yes, but we should look at the answers
[4881.48s -> 4884.20s]  to make sure that GPT-4 isn't being biased
[4884.24s -> 4885.80s]  when it looks at the answers.
[4885.80s -> 4888.16s]  There's this tension here, and I don't know what the,
[4888.16s -> 4890.52s]  because in a controlled scientific experiment,
[4890.52s -> 4893.24s]  you would blind yourself to looking at these answers.
[4893.24s -> 4895.08s]  How do you deal with this?
[4895.08s -> 4896.28s]  Yeah, that's a good question.
[4896.28s -> 4898.48s]  I actually don't quite know, but one thing,
[4900.00s -> 4902.32s]  I actually feel less concerned about biases
[4902.32s -> 4904.04s]  of a single person.
[4904.04s -> 4906.48s]  My issue with the GPT-4 biases is that
[4906.48s -> 4908.48s]  it's the same across every model.
[4908.48s -> 4910.52s]  So things really scale up and kind of,
[4911.92s -> 4913.60s]  it's really, it becomes a monoculture.
[4914.12s -> 4917.80s]  And I think that's less, that's much worse
[4917.80s -> 4919.96s]  than if everyone incorporates a little bit of the biases
[4919.96s -> 4921.40s]  that they have in their direction.
[4921.40s -> 4924.14s]  I'm not saying that that's the best answer,
[4924.14s -> 4925.52s]  but I think it's slightly better
[4925.52s -> 4928.20s]  than just going with whatever they have, yeah.
[4928.20s -> 4929.32s]  How does one, and following up on that,
[4929.32s -> 4931.28s]  how do we avoid a situation if we're like,
[4931.28s -> 4933.64s]  one is trying to solve a problem with a model,
[4935.00s -> 4940.00s]  and one evaluates it with GPT chat, GPT-4,
[4941.00s -> 4944.88s]  and then one starts to look at it and say,
[4944.88s -> 4946.76s]  okay, this is good and stuff.
[4946.76s -> 4949.68s]  And then one goes, okay, this is great.
[4949.68s -> 4952.16s]  And everyone else in the world and GPT-4
[4952.16s -> 4954.00s]  thinks it's a terrible, terrible model,
[4954.00s -> 4956.72s]  and it's just someone being, and just some academic
[4956.72s -> 4960.32s]  being pressuring themselves into publishing something
[4960.32s -> 4962.28s]  that doesn't actually work.
[4962.28s -> 4963.68s]  How do you, how does the field
[4963.68s -> 4966.22s]  structurally avoid situations like that?
[4967.22s -> 4970.26s]  Well, I think that's one reason
[4970.26s -> 4971.66s]  why they want standardized benchmarks,
[4971.66s -> 4973.54s]  and why every reviewer actually wants
[4973.54s -> 4975.84s]  standardized benchmarks, because at least,
[4975.84s -> 4977.58s]  even though everyone knows that they're wrong,
[4977.58s -> 4980.22s]  they understand how they are wrong.
[4980.22s -> 4981.98s]  So I think that's like one perspective.
[4981.98s -> 4983.60s]  Another thing which is not,
[4983.60s -> 4984.86s]  doesn't completely answer your question,
[4984.86s -> 4989.48s]  but I think could be a potential solution,
[4990.64s -> 4993.34s]  is that how I view GPT-4 is just something
[4993.34s -> 4994.66s]  that is really good at performing
[4994.66s -> 4996.46s]  what I want it to perform.
[4996.46s -> 4999.74s]  Right now, the thing is, I'm not very specific
[4999.74s -> 5001.46s]  about what I want it to perform.
[5001.46s -> 5003.82s]  And as a result, it will basically come in
[5003.82s -> 5005.50s]  with its own biases that come from
[5005.50s -> 5008.46s]  its pre-training data or fine-tuning data.
[5008.46s -> 5010.38s]  A potentially better way of doing it
[5010.38s -> 5012.90s]  is that I could write exactly what I wanted.
[5012.90s -> 5015.98s]  So right now, when we do the prompting to GPT-4,
[5015.98s -> 5017.98s]  I basically ask a question, simple question,
[5017.98s -> 5021.58s]  like how good is the summary out of five.
[5021.58s -> 5023.66s]  But a much better way would probably be
[5023.70s -> 5025.66s]  writing a very detailed rubric of everything
[5025.66s -> 5028.94s]  that has to be in this answer for it to be a good answer.
[5028.94s -> 5029.78s]  And if you think about it,
[5029.78s -> 5032.46s]  this is exactly what like professors do
[5032.46s -> 5034.10s]  when they evaluate for class.
[5034.10s -> 5038.46s]  Like they basically say, okay, Yan is a okay TA,
[5038.46s -> 5041.12s]  but I cannot trust him like blindly.
[5041.12s -> 5042.94s]  So what I will do is that I will write
[5042.94s -> 5044.42s]  a very detailed rubric,
[5044.42s -> 5046.70s]  and I trust that he can apply that rubric.
[5046.70s -> 5047.54s]  And I think that's also how
[5047.54s -> 5049.40s]  we should be thinking about GPT-4.
[5049.40s -> 5051.26s]  This is not how we currently do it.
[5053.66s -> 5056.26s]  Any other questions?
