# Detected language: en (p=1.00)

[0.00s -> 0.84s]  Hello, everyone.
[3961.84s -> 3963.84s]  especially if you want to do the IMO,
[3963.84s -> 3968.16s]  mathlib doesn't contain much IMO like kind of problems.
[3968.16s -> 3970.48s]  And it's all about research math.
[3970.48s -> 3972.36s]  And so if you take that prover model
[3972.36s -> 3974.76s]  and you try to apply it on the IMO,
[3976.92s -> 3980.68s]  you get around 0% solve rate on the IMO.
[3980.68s -> 3984.60s]  I'm not going to say how 0% I actually, I'm not sure,
[3984.60s -> 3987.36s]  but really close to 0%.
[3987.36s -> 3989.40s]  And so that's why you start to have to discover
[3989.44s -> 3990.84s]  new knowledge about, you know,
[3990.84s -> 3993.40s]  how to solve those IMO problems.
[3993.40s -> 3996.64s]  And so that's where you enter the next stage
[3996.64s -> 3999.20s]  of the alpha zero reinforcement learning stage.
[3999.20s -> 4002.66s]  And so you are going to train the prover model by ARRA.
[4002.66s -> 4004.42s]  And the recipe is very simple.
[4004.42s -> 4007.90s]  It's ARRA recipe, you know, for each form of problem,
[4007.90s -> 4009.88s]  you are going to generate experience
[4009.88s -> 4012.40s]  or either proving or disproving that problem
[4012.40s -> 4013.92s]  by searching over lean steps.
[4014.98s -> 4018.28s]  Once you've come up with what you think is a proof,
[4018.28s -> 4021.16s]  you're going to use lean to verify the proofs.
[4021.16s -> 4023.00s]  Lean is going to say, this is not a proof,
[4023.00s -> 4023.84s]  this is a proof.
[4023.84s -> 4025.28s]  And for the things that are proof,
[4025.28s -> 4028.52s]  you're going to reinforce your proven network
[4028.52s -> 4030.20s]  on those proofs.
[4030.20s -> 4031.72s]  And so what happens is that, you know,
[4031.72s -> 4034.36s]  at the very beginning, the prover model
[4036.00s -> 4039.08s]  is able to prove the very, the easiest problems,
[4039.08s -> 4040.84s]  really, really easy problems.
[4040.84s -> 4042.98s]  It's going to learn from that experience
[4042.98s -> 4045.32s]  and kind of climb the next one on the ladder
[4045.32s -> 4047.56s]  that leads all the way to IMO strengths, right?
[4047.72s -> 4049.40s]  It's going to be able to then, you know,
[4049.40s -> 4051.64s]  solve a few more problems a bit harder.
[4051.64s -> 4052.76s]  And by learning from those,
[4052.76s -> 4055.24s]  it will go and get better and better and better
[4055.24s -> 4057.20s]  and all the way to the IMO.
[4057.20s -> 4061.12s]  And so from this stage, we decided to do a kind of,
[4061.12s -> 4063.44s]  really the alpha zero kind of pipeline,
[4064.66s -> 4066.88s]  because what we wanted to see is that, you know,
[4066.88s -> 4068.72s]  like, of course we want to solve the IMO,
[4068.72s -> 4071.00s]  but we want to do it in a way that we think,
[4071.00s -> 4073.84s]  we know we generalize way beyond the IMO.
[4073.84s -> 4078.76s]  So, you know, like our real goal is to do real mathematics,
[4078.76s -> 4080.68s]  if not to stop at the IMO.
[4080.68s -> 4085.68s]  So we want to have a method that is not tuned to the IMO.
[4085.84s -> 4088.52s]  We want to have a method that can discover new knowledge.
[4088.52s -> 4090.68s]  And so all these proving strategies for the IMO,
[4090.68s -> 4093.84s]  this is completely discovered by the model by itself.
[4095.50s -> 4096.92s]  So that's step three.
[4096.92s -> 4099.92s]  And then final step is this thing called test time error.
[4100.92s -> 4103.16s]  And so to give you a bit of context,
[4103.32s -> 4104.72s]  as I alluded before, you know,
[4104.72s -> 4108.04s]  even for a portion of the USA coach or Tim Gowers
[4108.04s -> 4109.48s]  or Terry Tao, you know,
[4109.48s -> 4111.68s]  the problems at the IMO are not obvious.
[4111.68s -> 4114.92s]  So even if you have like fields, metal level,
[4114.92s -> 4117.20s]  neural network of mathematic nutrition,
[4117.20s -> 4120.72s]  you cannot really solve those IMO problems instantly.
[4120.72s -> 4123.64s]  Or then even for them, it takes hours to solve.
[4123.64s -> 4125.34s]  And why is that?
[4125.34s -> 4126.18s]  It's because, you know,
[4126.18s -> 4128.48s]  those problems have been designed this way
[4128.48s -> 4130.56s]  and you really want to learn something
[4130.56s -> 4131.76s]  about those problems.
[4131.76s -> 4134.28s]  So it's almost like kind of a real scientific
[4134.28s -> 4135.12s]  kind of experiment.
[4135.12s -> 4137.34s]  You know, you first need to think of experiments.
[4137.34s -> 4139.26s]  In this case, it's like, what could be true?
[4139.26s -> 4140.68s]  What could be false?
[4140.68s -> 4142.86s]  And then you need to run the experiments, you know,
[4142.86s -> 4145.06s]  try to prove or disprove those problems
[4145.06s -> 4147.00s]  and learn from this experience,
[4147.00s -> 4148.84s]  learn about that particular problem.
[4149.84s -> 4154.68s]  And the way we did it is that, you know,
[4154.68s -> 4157.44s]  alpha proof is gonna generate variants of the problem
[4157.44s -> 4158.62s]  we are caring about.
[4158.62s -> 4159.46s]  So in this case, you know,
[4159.46s -> 4161.20s]  we have these six problems at the IMO.
[4161.64s -> 4163.38s]  These are the problems we care about.
[4163.38s -> 4165.64s]  Can we generate variants of those problems?
[4165.64s -> 4168.88s]  And basically then run RL exactly as in the previous step
[4168.88s -> 4170.42s]  to try to discover knowledge,
[4171.30s -> 4173.64s]  especially about those problems.
[4173.64s -> 4178.32s]  So I'm trying to illustrate this in some hyperplane
[4178.32s -> 4180.68s]  where you can have the agent and the problem.
[4183.04s -> 4185.16s]  So yeah, try to imagine this a little bit.
[4185.16s -> 4186.84s]  So on the bottom left,
[4186.84s -> 4189.74s]  basically you have a bubble of problems
[4189.78s -> 4193.04s]  that the agent can already solve easily.
[4193.04s -> 4195.10s]  And so it's a generous checkpoint.
[4195.10s -> 4196.90s]  Every like little black dots here
[4196.90s -> 4198.30s]  represent kind of a problem
[4198.30s -> 4201.22s]  that the agent already knows how to do.
[4201.22s -> 4204.12s]  And then, you know, like very far on the top right,
[4204.12s -> 4206.50s]  you have this very hard problem that you wanna solve.
[4206.50s -> 4209.98s]  So imagine maybe it's the P6 problem at the IMO.
[4209.98s -> 4213.54s]  And so as I described, the first thing we did
[4213.54s -> 4215.14s]  was we generated variants on that thing.
[4215.14s -> 4217.54s]  So we basically explored kind of that problem
[4217.54s -> 4219.62s]  into many, many variants.
[4220.46s -> 4222.22s]  And if you are doing this well,
[4222.22s -> 4225.74s]  you may hope that it will generate one variant
[4225.74s -> 4228.50s]  that is actually already solvable by the agent.
[4229.66s -> 4231.22s]  And so you solve that one
[4231.22s -> 4234.58s]  and you learn from that proof exactly like before.
[4234.58s -> 4237.34s]  And you learn a little bit about that problem.
[4237.34s -> 4238.82s]  And then you repeat that process.
[4238.82s -> 4240.32s]  You repeat that process.
[4240.32s -> 4241.82s]  You learn about that problem
[4241.82s -> 4246.46s]  until you reach that problem and you can solve it.
[4246.46s -> 4249.42s]  And so that's how actually P1 and P2 and P6
[4250.30s -> 4252.14s]  require the same amount to be solved.
[4253.82s -> 4256.46s]  Okay, so I want to finish this section
[4256.46s -> 4258.66s]  with some challenges for AlphaProve.
[4260.98s -> 4264.86s]  So we inherit some challenges from formal mathematics.
[4264.86s -> 4265.68s]  As I said, you know,
[4265.68s -> 4268.50s]  most of human data is in natural language,
[4268.50s -> 4270.34s]  but we started to have a good handle
[4270.34s -> 4272.62s]  on how to translate that human data
[4272.62s -> 4274.30s]  so that we could learn about it.
[4275.26s -> 4277.90s]  So it's still a big challenge,
[4277.98s -> 4279.82s]  especially as we move forward.
[4279.82s -> 4281.78s]  But maybe we have some handling.
[4282.78s -> 4285.38s]  Maybe something that is a bit harder
[4285.38s -> 4288.38s]  is that we cannot easily learn and work on areas
[4288.38s -> 4290.38s]  that are not supported by massive.
[4290.38s -> 4291.52s]  And so for instance, you know,
[4291.52s -> 4293.12s]  like in the geometry case,
[4293.12s -> 4295.38s]  where you have nothing about it, right?
[4295.38s -> 4297.54s]  You can't even express kind of, you know,
[4297.54s -> 4300.98s]  the geometry problems that humans have come up with.
[4300.98s -> 4304.30s]  And so that's kind of a real challenge to think about.
[4304.94s -> 4308.62s]  And so this could be solved if, you know,
[4308.62s -> 4311.70s]  you start to understand how to do creative building
[4311.70s -> 4313.96s]  of new objects and theories.
[4313.96s -> 4316.86s]  You understand interestingness and beauty in mathematics.
[4318.30s -> 4323.30s]  But this is definitely a really cool challenge
[4323.56s -> 4324.40s]  for future work.
[4325.86s -> 4326.70s]  Cool.
[4326.70s -> 4330.22s]  So, you know, what's next for AlphaProve?
[4330.22s -> 4332.94s]  As I said, you know, like, you know,
[4332.94s -> 4336.62s]  from the very beginning, actually, of the AlphaProve project,
[4336.62s -> 4340.50s]  the idea was to try to see if we could, you know,
[4340.50s -> 4342.18s]  learn about mathematics
[4342.18s -> 4344.48s]  and potentially go beyond human mathematics.
[4345.92s -> 4349.50s]  The IMO was a really, really cool milestone
[4349.50s -> 4352.46s]  that I think was extremely correlating with that goal.
[4352.46s -> 4355.30s]  But that's not where we want to stop.
[4355.30s -> 4358.60s]  So obviously what we want to do is we want to broaden
[4358.60s -> 4360.10s]  to the entire mathematical landscape.
[4360.26s -> 4363.22s]  We don't want to be stuck at high school mathematics.
[4363.22s -> 4366.26s]  And we want in the future to be able to contribute
[4366.26s -> 4368.34s]  to the frontiers of research maths.
[4368.34s -> 4370.94s]  And in going back to, you know,
[4370.94s -> 4375.94s]  to the understanding that the Greek got 2,500 years ago
[4376.30s -> 4378.18s]  of the importance of proof.
[4378.18s -> 4381.90s]  And it would be fantastic if we could democratize
[4381.90s -> 4383.54s]  kind of this idea of the proof
[4383.54s -> 4385.34s]  and share that with every thinker
[4386.22s -> 4388.50s]  from an elite mathematician
[4388.50s -> 4391.22s]  to, you know, any other person.
[4391.22s -> 4393.58s]  And so can we have AlphaProve as a useful tool
[4393.58s -> 4394.64s]  for every thinker?
[4396.06s -> 4398.74s]  I want to conclude saying that, you know,
[4398.74s -> 4402.22s]  the big ideas, they're really important,
[4402.22s -> 4404.18s]  but equally important, if not more,
[4404.18s -> 4406.50s]  is the people you are doing this with
[4406.50s -> 4409.48s]  and the mindset that everyone has on the team.
[4410.70s -> 4412.94s]  I was pleasantly surprised to hear that, you know,
[4412.94s -> 4415.74s]  in mathematics as well, you need to be really optimistic.
[4416.74s -> 4419.02s]  Otherwise you will never be able to prove anything.
[4419.02s -> 4422.18s]  I think this is also true in AI and machine learning.
[4422.18s -> 4425.26s]  You need to be absolutely kind of optimistic
[4425.26s -> 4427.98s]  to be able to achieve kind of absurd goals.
[4427.98s -> 4430.42s]  And really, you know, individually,
[4430.42s -> 4432.14s]  this was almost impossible,
[4432.14s -> 4434.78s]  but, you know, we had this belief that together
[4434.78s -> 4436.10s]  it was impossible to fail.
[4436.98s -> 4439.42s]  So these were the team members
[4439.42s -> 4441.94s]  that contributed to this amazing project.
[4442.94s -> 4445.86s]  And yeah, let me conclude that
[4445.86s -> 4447.62s]  and thank you for listening.
