# Detected language: en (p=1.00)

[0.00s -> 4.20s]  Try sharing your slides.
[4914.44s -> 4917.44s]  and then you have a space of programmatic hypotheses.
[4917.44s -> 4920.44s]  This is, for example, the, you know,
[4920.44s -> 4922.44s]  the landscape of equation,
[4922.44s -> 4925.44s]  or the set of equations expressible in Python
[4925.44s -> 4929.44s]  or, you know, in some restricted DSL inside Python.
[4930.44s -> 4932.44s]  And then what you're saying is that
[4932.44s -> 4936.44s]  you want to jointly infer, given the data,
[4936.44s -> 4939.44s]  this distribution over pi,
[4939.44s -> 4943.44s]  which is, you know, likely hypothesis and likely concepts.
[4943.44s -> 4946.44s]  So you don't want to just get likely programs,
[4946.44s -> 4947.44s]  given the data,
[4947.44s -> 4950.44s]  which would be the goal of traditional symbolic regression.
[4950.44s -> 4953.44s]  You want to get both the programs
[4953.44s -> 4956.44s]  and also the kinds of concepts that they represent
[4956.44s -> 4959.44s]  because, ultimately, you want to explain these programs
[4959.44s -> 4961.44s]  to a human scientist,
[4961.44s -> 4963.44s]  or, alternatively, maybe, you know,
[4963.44s -> 4966.44s]  this joint distribution gives you more information
[4966.44s -> 4969.44s]  than if you just operated in the program space.
[4970.44s -> 4973.44s]  And so this you can factorize in this way,
[4973.44s -> 4977.44s]  and then it turns out that, you know,
[4977.44s -> 4979.44s]  the way to think about it is that
[4979.44s -> 4982.44s]  P of D given pi is basically saying that
[4982.44s -> 4986.44s]  if I have a particular program pi,
[4986.44s -> 4990.44s]  what is the likelihood of the data?
[4990.44s -> 4993.44s]  So, you know, how well does the program explain the data?
[4993.44s -> 4996.44s]  In order to find this, you just execute the program, right,
[4996.44s -> 4999.44s]  and see what kinds of results come out
[4999.44s -> 5002.44s]  and what the likelihood of the data set is.
[5002.44s -> 5007.44s]  And P of pi given C is basically telling you that,
[5007.44s -> 5011.44s]  okay, here are these...
[5011.44s -> 5013.44s]  Here is a concept that I have,
[5013.44s -> 5015.44s]  so let's say I'm thinking about power loss, okay?
[5015.44s -> 5017.44s]  So conditioned on this concept
[5017.44s -> 5019.44s]  that I'm thinking about power loss,
[5019.44s -> 5021.44s]  what is the probability of this program
[5021.44s -> 5024.44s]  that, you know, this piece of code, right,
[5024.44s -> 5026.44s]  to what extent does this piece of code
[5026.44s -> 5028.44s]  represent a power loss?
[5028.44s -> 5030.44s]  And this is something that an LLM
[5030.44s -> 5033.44s]  has background knowledge inside it to do.
[5033.44s -> 5036.44s]  And then finally, I have this P of C,
[5036.44s -> 5038.44s]  which is a prior over concepts,
[5038.44s -> 5041.44s]  and this is also something that an LLM knows that, you know,
[5041.44s -> 5043.44s]  I have seen the literature of,
[5043.44s -> 5045.44s]  let's say, physics until this point,
[5045.44s -> 5050.44s]  so what is the likelihood of this concept, right?
[5050.44s -> 5056.44s]  So all of this together gives you ultimately
[5056.44s -> 5061.44s]  the ability to infer both a distribution
[5061.44s -> 5065.44s]  over both programs and concepts.
[5065.44s -> 5068.44s]  Now, in order to really implement this,
[5068.44s -> 5072.44s]  this is the loop that we came up with.
[5072.44s -> 5074.44s]  So this follows the basic structure
[5074.44s -> 5076.44s]  of an evolutionary algorithm,
[5076.44s -> 5078.44s]  but it does this sort of, you know,
[5078.44s -> 5080.44s]  this sort of Bayesian concept learning thing
[5080.44s -> 5084.44s]  guided by LLMs on top of that.
[5084.44s -> 5087.44s]  And so operationally, the way to think about it
[5087.44s -> 5090.44s]  is that you have, like in any evolutionary algorithm,
[5090.44s -> 5094.44s]  you're maintaining a population of hypotheses or programs,
[5094.44s -> 5098.44s]  and then at this point, you have a choice of doing,
[5098.44s -> 5101.44s]  you know, evolution either guided
[5101.44s -> 5103.44s]  by the classical symbolic method
[5103.44s -> 5105.44s]  where you're doing some random tweaks
[5105.44s -> 5107.44s]  to the abstract syntax tree of the program
[5107.44s -> 5110.44s]  or alternatively, you are doing this LLM guided evolution
[5110.44s -> 5112.44s]  where you are saying that here is a concept,
[5112.44s -> 5114.44s]  here is a program that I have,
[5114.44s -> 5116.44s]  and I want to generate a new program.
[5116.44s -> 5117.44s]  And when you are doing that,
[5117.44s -> 5120.44s]  you are being guided by this concept library
[5120.44s -> 5121.44s]  which tells you that, you know,
[5121.44s -> 5122.44s]  these are the concepts
[5122.44s -> 5124.44s]  that I'm thinking about right now, right?
[5124.44s -> 5126.44s]  So power laws seem really good,
[5126.44s -> 5129.44s]  really well suited to this condition,
[5129.44s -> 5132.44s]  this concept or the setting
[5132.44s -> 5136.44s]  or, you know, maybe trigonometric functions
[5136.44s -> 5139.44s]  seem especially well suited to this setting and so on, right?
[5139.44s -> 5141.44s]  So you are feeding all of that
[5141.44s -> 5143.44s]  to this LLM guided evolution process,
[5143.44s -> 5145.44s]  and that allows you to, you know,
[5145.44s -> 5153.44s]  basically mutate the current programs into new programs.
[5153.44s -> 5154.44s]  And then after you do that,
[5154.44s -> 5157.44s]  you are, like in the usual evolutionary way,
[5157.44s -> 5163.44s]  you are identifying the best candidates in this population,
[5163.44s -> 5165.44s]  and so this is where you use the fitness function
[5165.44s -> 5172.44s]  which is, you know, how well does your hypothesis pool
[5172.44s -> 5174.44s]  explain the data that you have, right?
[5174.44s -> 5180.44s]  And this is where that P of D given pi that comes in.
[5180.44s -> 5182.44s]  And so this is a little bit more detail
[5182.44s -> 5185.44s]  about how the hypothesis evolution works.
[5185.44s -> 5188.44s]  So, you know, you start with this initialization,
[5188.44s -> 5191.44s]  initial program population, and then you're evaluating,
[5191.44s -> 5192.44s]  you're getting the best program,
[5192.44s -> 5194.44s]  you're mutating or crossing over,
[5194.44s -> 5200.44s]  and then you're replacing the oldest program,
[5200.44s -> 5203.44s]  and then this process just carries on for a while.
[5205.44s -> 5207.44s]  So the important thing over here
[5207.44s -> 5209.44s]  is that you are using the LLM
[5209.44s -> 5212.44s]  for implementing this mutation and crossover operations.
[5212.44s -> 5216.44s]  So in particular, rather than, you know,
[5216.44s -> 5218.44s]  in the classical genetic algorithm,
[5218.44s -> 5220.44s]  what's going to happen is that you're given the AST
[5220.44s -> 5221.44s]  and you're going to say that, okay,
[5221.44s -> 5224.44s]  swap out this subtree by a different subtree.
[5224.44s -> 5227.44s]  Now you're going to say that I'm going to ask the LLM
[5227.44s -> 5229.44s]  to rewrite the program into something.
[5229.44s -> 5234.44s]  And this idea was also used in the FunSearch paper
[5234.44s -> 5237.44s]  from DeepMind last year,
[5237.44s -> 5242.44s]  and FunSearch has been very successful.
[5242.44s -> 5246.44s]  The way in which this laser work differs from FunSearch
[5246.44s -> 5249.44s]  is fundamental in its use of this concept library,
[5249.44s -> 5254.44s]  but a lot of the other ideas are closely related.
[5254.44s -> 5256.44s]  So this is just to highlight, you know,
[5256.44s -> 5258.44s]  the difference between the symbolic crossover
[5258.44s -> 5260.44s]  versus the LLM crossover.
[5260.44s -> 5263.44s]  So in this case, the LLM is basically doing all this.
[5263.44s -> 5265.44s]  It's being given a crossover prompt,
[5265.44s -> 5267.44s]  and then it's given some formatting instructions,
[5267.44s -> 5270.44s]  and then it's generating the new expression.
[5270.44s -> 5273.44s]  So after you do this, there is the...
[5273.44s -> 5275.44s]  So you've evolved your hypothesis,
[5275.44s -> 5276.44s]  so now you have this new pool,
[5276.44s -> 5279.44s]  and now you also evolve your concept library.
[5279.44s -> 5283.44s]  And so the concept library,
[5283.44s -> 5285.44s]  this evolution process has these two stages.
[5285.44s -> 5287.44s]  So first, you know, you take your new programs
[5287.44s -> 5290.44s]  that you've created, your new program pool,
[5290.44s -> 5293.44s]  and now you're asking the LLM to abstract this
[5293.44s -> 5295.44s]  into these sort of natural language,
[5295.44s -> 5297.44s]  high-level descriptions.
[5297.44s -> 5299.44s]  So for example, here, the LLM is telling you that,
[5299.44s -> 5305.44s]  oh, this equation represents exponential growth or decay.
[5305.44s -> 5309.44s]  And then the LLM, the concept evolution process
[5309.44s -> 5313.44s]  is just like the hypothesis or program evolution process,
[5313.44s -> 5317.44s]  except it now uses this, you know,
[5317.44s -> 5321.44s]  an LLM to basically combine,
[5321.44s -> 5324.44s]  mash up these different concepts into a new concept.
[5324.44s -> 5326.44s]  So for example, here you see that, you know,
[5326.44s -> 5329.44s]  exponential growth decay, this is one concept.
[5329.44s -> 5332.44s]  Another concept says depends on temperature.
[5332.44s -> 5335.44s]  And our LLM, because it has all this knowledge
[5335.44s -> 5338.44s]  about all sorts of concepts relevant in physics,
[5338.44s -> 5340.44s]  it comes up with this idea that, oh, you know,
[5340.44s -> 5342.44s]  this should be a Boltzmann distribution.
[5342.44s -> 5344.44s]  This is a useful concept to have.
[5344.44s -> 5346.44s]  And then this is going to influence
[5346.44s -> 5347.44s]  the hypothesis evolution,
[5347.44s -> 5350.44s]  which is going to influence concept abstraction
[5350.44s -> 5354.44s]  and evolution, and this loop will continue.
[5354.44s -> 5360.44s]  So one way to visualize this is that after the first phase,
[5360.44s -> 5362.44s]  when you have done this hypothesis evolution,
[5362.44s -> 5364.44s]  you may have these, you know, islands
[5364.44s -> 5366.44s]  of different kinds of expressions.
[5366.44s -> 5372.44s]  Now, in the concept generation process,
[5372.44s -> 5374.44s]  concept discovery process,
[5374.44s -> 5376.44s]  you're going to get these, you know,
[5376.44s -> 5380.44s]  natural language descriptions of these different islands.
[5380.44s -> 5383.44s]  So this is sinusoidal trends, this is power law trends,
[5383.44s -> 5387.44s]  this is linear trends, this is exponential trends, and so on.
[5387.44s -> 5394.44s]  And then what we found is that the use of this sort
[5394.44s -> 5397.44s]  of a high-level concept library helped us
[5397.44s -> 5399.44s]  in this equation discovery process.
[5399.44s -> 5402.44s]  So we evaluated this on this task of, you know,
[5402.44s -> 5406.44s]  equation discovery or discovering Feynman equations
[5406.44s -> 5411.44s]  just given the prompt that...
[5411.44s -> 5414.44s]  So there was the data, but then there was a prompt
[5414.44s -> 5417.44s]  that told you, you know, which chapter you were looking at
[5417.44s -> 5418.44s]  and so on.
[5418.44s -> 5422.44s]  And so what we found is that this approach proved
[5422.44s -> 5427.44s]  more effective than a version where you were just using
[5427.44s -> 5429.44s]  either a pure genetic programming or one
[5429.44s -> 5434.44s]  where you were not using any kind of concept learning.
[5434.44s -> 5437.44s]  And so the...
[5437.44s -> 5441.44s]  So it turns out that even with local language models,
[5441.44s -> 5444.44s]  when we didn't use a frontier model,
[5444.44s -> 5446.44s]  we were still able to outperform
[5446.44s -> 5450.44s]  this genetic programming approach.
[5450.44s -> 5454.44s]  And the overall finding was that,
[5454.44s -> 5456.44s]  and you can find more details in the paper,
[5456.44s -> 5459.44s]  is that the use of this sort of high-level concepts
[5459.44s -> 5463.44s]  generated by the LLM, it accelerates discovery.
[5463.44s -> 5470.44s]  Now, one appeal of this sort of LLM-based approach
[5470.44s -> 5475.44s]  is that it can very naturally take in user-provided hints.
[5475.44s -> 5483.44s]  So in this case, we gave the algorithm some hints,
[5483.44s -> 5486.44s]  which was, you know, this is the kind of equation
[5486.44s -> 5488.44s]  you are looking at.
[5488.44s -> 5492.44s]  So in the previous experiments, actually, we did not have hints.
[5492.44s -> 5495.44s]  So this was just, you know, purely based on data.
[5495.44s -> 5497.44s]  But then in this case, we had hints,
[5497.44s -> 5502.44s]  and then we found that hints actually provided some benefits.
[5502.44s -> 5505.44s]  So on the X-axis here, you have the number of iterations.
[5505.44s -> 5509.44s]  On the Y-axis, you have the fraction of equations solved.
[5509.44s -> 5511.44s]  And then we found that the use of the hints,
[5511.44s -> 5514.44s]  it provided a modest benefit,
[5514.44s -> 5518.44s]  at least earlier on in the process.
[5518.44s -> 5522.44s]  So here is an example of this in action.
[5522.44s -> 5526.44s]  So here, this is the classic Coulomb's law.
[5526.44s -> 5531.44s]  And then PISAR is this genetic programming approach.
[5531.44s -> 5537.44s]  And it gave this very unwieldy kind of expression
[5537.44s -> 5540.44s]  that it turns out is equivalent
[5540.44s -> 5542.44s]  to the ground truth expression,
[5542.44s -> 5546.44s]  but it required a lot of simplification for you to,
[5546.44s -> 5547.44s]  it would require a lot of simplification
[5547.44s -> 5550.44s]  for you to go from here to the ground truth.
[5550.44s -> 5555.44s]  Whereas the laser approach is able to basically,
[5556.44s -> 5560.44s]  because of the, you know, some of the knowledge
[5560.44s -> 5562.44s]  that is there in the LLM,
[5562.44s -> 5565.44s]  it's able to, you know, reduce to ground truth
[5565.44s -> 5567.44s]  after four steps of simplification.
[5567.44s -> 5569.44s]  Now you could say, wait a second, isn't the LLM cheating?
[5569.44s -> 5572.44s]  Because it already has Coulomb's law in its mind.
[5572.44s -> 5576.44s]  So how do you know that this is not just, you know, leakage?
[5576.44s -> 5578.44s]  And of course, in this case,
[5578.44s -> 5581.44s]  there is that possibility, but that said,
[5581.44s -> 5583.44s]  I would say that, you know, the attraction here
[5583.44s -> 5588.44s]  is that the input to the system is just this data, right?
[5588.44s -> 5591.44s]  It's just the input-output values
[5591.44s -> 5593.44s]  that would result from Coulomb's law.
[5593.44s -> 5596.44s]  And it's a very low level kind of input.
[5596.44s -> 5600.44s]  The fact that it was able to fit this to Coulomb's law
[5600.44s -> 5602.44s]  is kind of interesting.
[5602.44s -> 5605.44s]  But that said, we also did other experiments
[5605.44s -> 5608.44s]  on synthetic data, where you just manufactured
[5608.44s -> 5613.44s]  a completely weird equation and a weird data set
[5613.44s -> 5614.44s]  coming from that equation,
[5614.44s -> 5618.44s]  and then asked the system to regenerate this.
[5618.44s -> 5620.44s]  And we found that there were substantial benefits
[5620.44s -> 5621.44s]  even in that case.
[5623.44s -> 5627.44s]  So here is some information about some of the concepts
[5627.44s -> 5630.44s]  that you ended up getting from laser.
[5630.44s -> 5633.44s]  So you see there is stuff like, you know,
[5633.44s -> 5636.44s]  good mathematical expressions exhibit symmetry or regularity,
[5636.44s -> 5638.44s]  but that said, there were also some expressions
[5638.44s -> 5642.44s]  that didn't really seem to mean anything.
[5644.44s -> 5646.44s]  But at the same time, you know,
[5646.44s -> 5650.44s]  there is no guarantee about the quality of the concepts.
[5650.44s -> 5652.44s]  This is all natural language at this point.
[5652.44s -> 5654.44s]  An interesting possibility is to use
[5654.44s -> 5655.44s]  some kind of a formal language
[5655.44s -> 5658.44s]  to describe the high-level concepts.
[5659.44s -> 5663.44s]  Now, we also use this in a new discovery problem
[5663.44s -> 5667.44s]  because we were also worried about the possibility
[5667.44s -> 5669.44s]  of this being an artifact of leakage
[5669.44s -> 5671.44s]  in case of standard benchmarks
[5671.44s -> 5673.44s]  like discovering Feynman equations.
[5673.44s -> 5677.44s]  And so we used this method
[5677.44s -> 5681.44s]  to come up with a new scaling law for LLMs.
[5681.44s -> 5687.44s]  And so here what you see is the so-called Chinchilla law.
[5687.44s -> 5690.44s]  So this is a law that was postulated
[5690.44s -> 5693.44s]  in a DeepMind paper from a few years back.
[5693.44s -> 5695.44s]  And so here, basically, what you're trying to do
[5695.44s -> 5698.44s]  is to predict the loss of the LLM, you know,
[5698.44s -> 5702.44s]  based on these various hyperparameters.
[5702.44s -> 5704.44s]  And so this was the law.
[5704.44s -> 5705.44s]  So you postulate a scaling law,
[5705.44s -> 5708.44s]  you measure model loss with respect to hyperparameters,
[5708.44s -> 5710.44s]  and then you fit scaling law to data set.
[5710.44s -> 5711.44s]  And in order to do this, of course,
[5711.44s -> 5712.44s]  you would need to have a data set
[5712.44s -> 5715.44s]  where you have a lot of values of these hyperparameters
[5715.44s -> 5721.44s]  and corresponding accuracy values for the LLM.
[5721.44s -> 5725.44s]  Now, we did the same thing with LASER
[5725.44s -> 5727.44s]  rather than fitting a hand-fitted law,
[5727.44s -> 5730.44s]  which was done in the Chinchilla paper, right?
[5730.44s -> 5732.44s]  So they basically postulated a law like this,
[5732.44s -> 5735.44s]  and then they fit the parameters.
[5735.44s -> 5737.44s]  But by contrast, what we did
[5737.44s -> 5741.44s]  is that we just asked LASER to go find it.
[5741.44s -> 5745.44s]  And LASER was able to come up with this sort of a law
[5745.44s -> 5750.44s]  where we also had this parameter called number of shots,
[5750.44s -> 5752.44s]  which is that if you're doing prediction,
[5752.44s -> 5754.44s]  you know, what is the number of examples
[5754.44s -> 5757.44s]  that you're giving it in context?
[5757.44s -> 5763.44s]  And this parameter is available in some of these data sets,
[5763.44s -> 5764.44s]  right?
[5764.44s -> 5766.44s]  And so what we found is that there was this interesting
[5766.44s -> 5769.44s]  kind of law that came up.
[5769.44s -> 5771.44s]  Now, this is just, you know, one example.
[5771.44s -> 5774.44s]  It's not really very comprehensive yet,
[5774.44s -> 5776.44s]  but this just shows that you can make
[5776.44s -> 5780.44s]  these kinds of new discoveries using this law.
[5780.44s -> 5783.44s]  And so basically, if you interpret this,
[5783.44s -> 5786.44s]  the way to think about it is that a large number of shots
[5786.44s -> 5789.44s]  gives poor results for low-capability models,
[5789.44s -> 5792.44s]  but then once the models pass a capability threshold,
[5792.44s -> 5795.44s]  then having more shots helps, right?
[5795.44s -> 5796.44s]  And this is sort of a common-sense
[5796.44s -> 5801.44s]  linguistic interpretation of the law that came out.
[5801.44s -> 5808.44s]  So, you know, you can also do something after this.
[5808.44s -> 5811.44s]  So if you're thinking about thinking of yourself
[5811.44s -> 5813.44s]  as an LLM scaling law person,
[5813.44s -> 5816.44s]  you start with the Chinchilla law from the previous paper,
[5816.44s -> 5817.44s]  and then you say, okay, you know,
[5817.44s -> 5821.44s]  maybe I should bring in this insight about shots
[5821.44s -> 5825.44s]  into the Chinchilla law, combine the old Chinchilla law
[5825.44s -> 5828.44s]  with this new discovery that was made by laser,
[5828.44s -> 5832.44s]  and then you find that this modified Chinchilla
[5832.44s -> 5837.44s]  actually is able to do better than both the old Chinchilla
[5837.44s -> 5842.44s]  and also the, you know, the laser itself.
[5842.44s -> 5845.44s]  And so this is kind of interesting that,
[5845.44s -> 5847.44s]  and shows that, you know,
[5847.44s -> 5849.44s]  this discovery process using LLM agents,
[5849.44s -> 5850.44s]  and this is very much an agent, right?
[5850.44s -> 5852.44s]  This is not just a one-shot LLM.
[5852.44s -> 5857.44s]  You're using an LLM combined with this various other tools,
[5857.44s -> 5861.44s]  and so what you are getting out of this is,
[5861.44s -> 5864.44s]  can influence human discovery as well
[5864.44s -> 5865.44s]  and lead to something that is greater
[5865.44s -> 5868.44s]  than the sum of the parts.
[5868.44s -> 5872.44s]  So in the interest of time, I'm going to skip this next bit,
[5872.44s -> 5875.44s]  but what I said there is that these ideas
[5875.44s -> 5878.44s]  can also be applied to settings
[5878.44s -> 5880.44s]  where you have visual high-dimensional inputs
[5880.44s -> 5883.44s]  because now we have vision language models as well,
[5883.44s -> 5885.44s]  so you can go crazy
[5885.44s -> 5889.44s]  and build these kinds of evolution-based agents
[5889.44s -> 5892.44s]  where you have VLMs as part of the story,
[5892.44s -> 5896.44s]  and I'm extremely optimistic about this direction.
[5896.44s -> 5899.44s]  So in summary, I would say that LLM-directed evolution
[5899.44s -> 5901.44s]  is a powerful tool for empirical science,
[5901.44s -> 5906.44s]  and this point has already been made previously by FunSearch,
[5906.44s -> 5907.44s]  but now, you know,
[5907.44s -> 5909.44s]  we see that we can make it even more powerful
[5909.44s -> 5912.44s]  with these ideas of abstraction
[5912.44s -> 5917.44s]  that LLMs can give you basically for free,
[5917.44s -> 5919.44s]  and even, you know,
[5919.44s -> 5921.44s]  this can be even extended to visual settings
[5921.44s -> 5925.44s]  where you have to use now vision language models,
[5925.44s -> 5927.44s]  but hey, they're coming a long way.
[5927.44s -> 5928.44s]  They have come a long way,
[5928.44s -> 5932.44s]  and importantly, the abstraction abilities of LLMs
[5932.44s -> 5934.44s]  can also be really helpful here.
[5934.44s -> 5936.44s]  Open challenges, you know,
[5936.44s -> 5939.44s]  verification of hypothesis and concepts,
[5939.44s -> 5943.44s]  concept representations that go beyond natural language,
[5943.44s -> 5946.44s]  scaling to larger search spaces, input dimensions,
[5946.44s -> 5947.44s]  and then, you know,
[5947.44s -> 5949.44s]  even going beyond hypothesis generation
[5949.44s -> 5953.44s]  to other parts of the scientific discovery process,
[5953.44s -> 5954.44s]  but at the end, though,
[5954.44s -> 5960.44s]  I am very optimistic that LLM agents,
[5960.44s -> 5961.44s]  not just LLMs,
[5961.44s -> 5963.44s]  but these kinds of agentic workflows
[5963.44s -> 5967.44s]  where you have combinations of LLM queries
[5967.44s -> 5970.44s]  as well as other kinds of machinery,
[5970.44s -> 5974.44s]  they can be extremely powerful in scientific discovery.
[5974.44s -> 5978.44s]  They can help you come up with new scientific hypotheses
[5978.44s -> 5982.44s]  and even do experiment design,
[5982.44s -> 5983.44s]  and also, as we saw,
[5983.44s -> 5984.44s]  mathematical discovery,
[5984.44s -> 5986.44s]  they can be supremely powerful,
[5986.44s -> 5990.44s]  and again, we are just in the early stages
[5990.44s -> 5996.44s]  of what I think this line of research will end up being,
[5996.44s -> 6000.44s]  and this can have applications in math,
[6000.44s -> 6002.44s]  in science, in engineering,
[6002.44s -> 6004.44s]  as you saw, the formal verification application,
[6004.44s -> 6007.44s]  you know, building rigorous systems,
[6007.44s -> 6011.44s]  so the future is very bright,
[6011.44s -> 6012.44s]  and with that, I'll end.
[6012.44s -> 6017.44s]  I want to thank all my collaborators and funders,
[6017.44s -> 6019.44s]  and I'm happy to take questions.
[6023.44s -> 6024.44s]  Thank you, Sivarath,
[6024.44s -> 6027.44s]  for this very interesting and informative talk.
[6027.44s -> 6030.44s]  So we have a few questions from students,
[6030.44s -> 6034.44s]  so I'm going to read their question.
[6034.44s -> 6037.44s]  So first, about the second part of the talk,
[6037.44s -> 6039.44s]  the question is,
[6039.44s -> 6044.44s]  LLMs have most human knowledge memorized,
[6044.44s -> 6047.44s]  but why haven't they yet been applied
[6047.44s -> 6050.44s]  to make a single new connection
[6050.44s -> 6053.44s]  that leads to a new scientific discovery?
[6057.44s -> 6061.44s]  That's a great question.
[6061.44s -> 6065.44s]  I would say that there are a lot of folks
[6065.44s -> 6067.44s]  that are trying to make
[6067.44s -> 6071.44s]  new foundational scientific discoveries using LLMs,
[6071.44s -> 6073.44s]  so I would say that, you know,
[6073.44s -> 6076.44s]  the scaling law is a very basic example
[6076.44s -> 6079.44s]  of a new scientific discovery, right?
[6079.44s -> 6081.44s]  Now, this is, you know, maybe not...
[6081.44s -> 6084.44s]  It's a very contained domain, right,
[6084.44s -> 6086.44s]  but I think that the same sorts of ideas
[6086.44s -> 6091.44s]  can be applied to other, more challenging settings,
[6091.44s -> 6094.44s]  and there are a lot of folks that I know of
[6094.44s -> 6098.44s]  who are indeed applying these sorts of methods in science,
[6098.44s -> 6100.44s]  so just recently, there was a paper
[6100.44s -> 6106.44s]  where FunSearch was used for discovering models,
[6106.44s -> 6111.44s]  interpretable models of animal behavior
[6111.44s -> 6114.44s]  and also actually human behavior,
[6114.44s -> 6119.44s]  so this is an example of a discovery
[6119.44s -> 6121.44s]  that was made using LLMs, right,
[6121.44s -> 6122.44s]  but it wasn't just pure LLMs.
[6122.44s -> 6127.44s]  It was LLMs plus this kind of an agentic workflow,
[6127.44s -> 6131.44s]  and I would say that the methods that I shared today,
[6131.44s -> 6136.44s]  we have ongoing work on applying this to problems
[6136.44s -> 6138.44s]  that would excite a lot of scientists,
[6138.44s -> 6144.44s]  but this is not ready yet for publication.
[6144.44s -> 6147.44s]  Yeah, and a follow-up question is,
[6147.44s -> 6149.44s]  in which scientific domains
[6149.44s -> 6154.44s]  do you expect the first successful use of LLM agents?
[6154.44s -> 6155.44s]  This is a great question,
[6155.44s -> 6160.44s]  so I would say that you want a domain
[6160.44s -> 6168.44s]  where you can heavily leverage
[6168.44s -> 6172.44s]  the coding and symbolic abilities,
[6172.44s -> 6174.44s]  and so the appeal of physics to me
[6174.44s -> 6177.44s]  and related fields like astronomy and so on
[6177.44s -> 6184.44s]  is that a lot can be explained by symbolic models
[6184.44s -> 6187.44s]  whereas in settings like biology,
[6187.44s -> 6189.44s]  I think it's a lot more difficult.
[6189.44s -> 6192.44s]  You do not have this sort of,
[6192.44s -> 6195.44s]  you know, you can have neural networks do extremely well,
[6195.44s -> 6200.44s]  but I think that because the domains are less symbolic,
[6200.44s -> 6205.44s]  I think LLMs might find them, might have a harder time.
[6205.44s -> 6207.44s]  That said, I would say that, you know,
[6207.44s -> 6209.44s]  what we are seeing with vision language models
[6209.44s -> 6214.44s]  is that, or even, you know, vision transformers
[6214.44s -> 6219.44s]  is that if you train things, tokenize things properly,
[6219.44s -> 6222.44s]  you know, even data that doesn't look like text
[6222.44s -> 6226.44s]  can be, you can train LLMs to do well on that
[6226.44s -> 6229.44s]  and combinations of that and text.
[6229.44s -> 6231.44s]  But that said, my bet would be on domains
[6231.44s -> 6235.44s]  like physics and astronomy and so on.
[6235.44s -> 6236.44s]  Thanks.
[6236.44s -> 6242.44s]  And I think also a very interesting point you mentioned
[6242.44s -> 6246.44s]  is like the pipeline for scientific discovery
[6246.44s -> 6248.44s]  where you collect data and analyzing
[6248.44s -> 6251.44s]  and interpreting the data and draw hypotheses
[6251.44s -> 6254.44s]  and try to verify the hypotheses.
[6254.44s -> 6258.44s]  I think symbolic regression is probably analyzing the data,
[6258.44s -> 6262.44s]  but do you expect agents to do other paths as well?
[6262.44s -> 6266.44s]  Like are they going to do fully autonomous experiments
[6266.44s -> 6269.44s]  and collecting data from those experiments?
[6269.44s -> 6271.44s]  Absolutely. Absolutely.
[6271.44s -> 6274.44s]  So in the longer run, I would hope that, you know,
[6274.44s -> 6278.44s]  we would have these automated labs
[6278.44s -> 6283.44s]  where you'd have these AI agents that are able to,
[6283.44s -> 6285.44s]  you know, of course, within guardrails
[6285.44s -> 6287.44s]  that are able to come up with new hypotheses,
[6287.44s -> 6290.44s]  design experiments based on these hypotheses
[6290.44s -> 6295.44s]  and use robots to perform the experiments, right?
[6295.44s -> 6299.44s]  But we are very far away from that kind of a future.
[6299.44s -> 6305.44s]  However, I think smaller scale versions of this
[6305.44s -> 6310.44s]  could happen, I would say, in the near future.
[6310.44s -> 6312.44s]  That's really exciting.
[6312.44s -> 6317.44s]  We have two other questions about the early part of the talk.
[6318.44s -> 6322.44s]  You mentioned how COPRA was constrained by compute budget
[6322.44s -> 6325.44s]  in the mini-F2F evaluation.
[6325.44s -> 6329.44s]  What is known about how these systems scale
[6329.44s -> 6332.44s]  if you can add more compute during inference time?
[6334.44s -> 6338.44s]  Nothing public is known.
[6338.44s -> 6340.44s]  So if you are interested in this
[6340.44s -> 6342.44s]  and you have access to compute,
[6342.44s -> 6348.44s]  I would recommend, I would encourage you to scale this up.
[6348.44s -> 6354.44s]  But at this point, I do not know of any public data
[6354.44s -> 6357.44s]  on scaling this sort of method
[6357.44s -> 6360.44s]  to a very large number of inference queries.
[6363.44s -> 6370.44s]  The last question is, recent work shows language models
[6370.44s -> 6373.44s]  can assign meaning to embeddings
[6373.44s -> 6376.44s]  and even interpret it between the embeddings,
[6376.44s -> 6381.44s]  even if the embeddings do not directly map to concepts.
[6381.44s -> 6385.44s]  What are the implications for theorem proving?
[6388.44s -> 6391.44s]  So I want to understand this point a little bit better.
[6391.44s -> 6395.44s]  So when you say they don't directly map to concepts,
[6395.44s -> 6398.44s]  there are presumably some concepts that they're mapping, right?
[6398.44s -> 6403.44s]  It's just not concepts that are known to us necessarily at this point.
[6403.44s -> 6407.44s]  Is that a fair interpretation of this?
[6408.44s -> 6410.44s]  Well, I don't know for sure,
[6410.44s -> 6413.44s]  but my guess is maybe the student is asking about,
[6413.44s -> 6416.44s]  for example, in word embedding,
[6416.44s -> 6418.44s]  you have embedding corresponds to a word,
[6418.44s -> 6420.44s]  but you can interpret it between the embedding.
[6420.44s -> 6422.44s]  So that embedding in the middle
[6422.44s -> 6424.44s]  does not correspond to any specific word,
[6424.44s -> 6427.44s]  but it seems to carry some semantics.
[6428.44s -> 6430.44s]  Yeah, and I think that that is really powerful.
[6430.44s -> 6435.44s]  So what we can imagine is using these latent representations inside LLMs
[6435.44s -> 6440.44s]  to, for example, understand which kinds of theorems
