# Detected language: en (p=1.00)

[0.00s -> 6.34s]  So, we'll get started.
[3545.66s -> 3548.06s]  what are the tokens assigned to which expert?
[3548.10s -> 3550.02s]  You see the pink and the yellow expert,
[3550.06s -> 3551.52s]  they just like kind of take over.
[3551.56s -> 3554.14s]  They take up about 50% of the tokens.
[3554.16s -> 3555.54s]  All of the other experts are dead.
[3555.56s -> 3556.86s]  They do nothing, right.
[3556.90s -> 3559.50s]  And so you've wasted the majority of your experts
[3559.54s -> 3562.30s]  at this point, six out of eight of your experts.
[3562.34s -> 3566.44s]  And you've created a two expert MOE unintentionally.
[3566.48s -> 3571.04s]  And that gives you worse losses seen up on the top,
[3571.08s -> 3572.88s]  right, the teal lines.
[3572.92s -> 3574.94s]  Of course, maybe that's still better than the dense model
[3574.98s -> 3577.68s]  because at least you've got two experts going.
[3577.72s -> 3579.06s]  But you could have done better, right,
[3579.08s -> 3580.38s]  counterfactually speaking.
[3582.66s -> 3586.52s]  Okay, so I won't go quite as deep as I could
[3586.52s -> 3589.32s]  into the system side because I haven't really started
[3589.36s -> 3592.70s]  to cover the core systems concepts necessary
[3592.72s -> 3594.50s]  for you to deeply appreciate a lot
[3594.52s -> 3595.76s]  of the parallelism concerns,
[3595.80s -> 3598.86s]  like basically the hierarchy of communication speeds
[3598.90s -> 3600.30s]  in a data center and so on.
[3601.24s -> 3603.28s]  But really, as I said before,
[3603.30s -> 3604.80s]  one thing to keep in mind is just
[3604.84s -> 3608.44s]  how nicely MOEs can fit into devices.
[3608.48s -> 3611.58s]  The thing that people say is expert parallel,
[3611.68s -> 3615.68s]  that involves sending or putting one or a few experts
[3617.28s -> 3618.68s]  onto each device.
[3618.72s -> 3622.28s]  And what happens when you are basically processing a token?
[3622.32s -> 3624.06s]  Well, you would hit the router,
[3624.08s -> 3628.02s]  and after the router, you now have picked few experts.
[3628.06s -> 3630.40s]  And so now you would have a collective communication call,
[3630.42s -> 3632.80s]  like all to all communication dispatch
[3632.84s -> 3636.10s]  that would send the tokens to the relevant devices,
[3636.14s -> 3639.10s]  the feed forwards that compute their outputs,
[3639.12s -> 3642.00s]  and then you would return the tokens
[3642.02s -> 3643.16s]  to sort of where they belong,
[3643.20s -> 3646.14s]  or you would combine, I guess, multiple experts.
[3646.16s -> 3647.24s]  And so you would need another
[3647.26s -> 3649.14s]  sort of collective communication call.
[3649.16s -> 3651.34s]  And so if your feed forward computations
[3651.38s -> 3652.94s]  are sort of big and beefy enough,
[3652.98s -> 3654.84s]  you can kind of pay for the cost
[3654.88s -> 3657.24s]  of basically doing this expert parallelism.
[3658.24s -> 3660.94s]  And one of the thing that's nice about this
[3660.98s -> 3663.48s]  is that it's another form of parallelism
[3663.52s -> 3664.58s]  in your toolkit.
[3664.62s -> 3666.58s]  So you've got, on the right side,
[3667.30s -> 3669.34s]  data parallelism, model parallelism
[3669.38s -> 3671.40s]  of two or three different kinds,
[3671.44s -> 3673.18s]  and then you've got expert parallelism.
[3673.20s -> 3674.38s]  And you can combine all of them
[3674.40s -> 3676.84s]  to come up with sort of ways of trading off
[3676.88s -> 3678.04s]  all the resources you have.
[3678.08s -> 3679.42s]  So the communication speed,
[3679.44s -> 3680.72s]  the amount of data that you have,
[3680.74s -> 3684.32s]  your batch size, and your number of experts
[3684.36s -> 3685.52s]  and your memory.
[3685.56s -> 3687.46s]  So I'm not gonna go into too much detail
[3687.48s -> 3689.96s]  about how specifically this is gonna help,
[3689.98s -> 3693.00s]  but keep in mind that this gives you another sort of tool
[3693.02s -> 3694.56s]  in your expert toolkit.
[3695.54s -> 3699.58s]  Another thing that is also useful
[3699.62s -> 3702.68s]  is let's say you have multiple experts
[3702.72s -> 3704.38s]  on a single device.
[3704.42s -> 3707.62s]  You might hope that because the computations are sparse,
[3707.66s -> 3711.70s]  like let's say token one, this first token,
[3711.72s -> 3712.90s]  gets multiplied to expert zero.
[3712.92s -> 3714.00s]  The second one is expert one,
[3714.02s -> 3715.50s]  and this third one is expert two.
[3715.52s -> 3718.26s]  So this is really three matrix multiplies
[3718.30s -> 3719.90s]  that are small and sparse.
[3719.94s -> 3722.06s]  And you might hope that modern GPUs
[3722.50s -> 3726.98s]  can sort of take advantage of these kinds of complex,
[3727.00s -> 3730.22s]  these kinds of sparse matrix multiplications.
[3730.24s -> 3731.78s]  And that's exactly right.
[3731.82s -> 3735.28s]  So if you lay out your sort of experts correctly
[3735.32s -> 3737.52s]  and the weights are sort of fused in the right way,
[3737.56s -> 3741.42s]  then modern sort of sparse matrix multiply sort of engines
[3741.46s -> 3743.26s]  can sort of effectively make sure
[3743.30s -> 3745.12s]  that you're not wasting any flops
[3745.16s -> 3747.30s]  in doing this one big matrix multiply.
[3747.32s -> 3749.66s]  So modern libraries like MegaBlocks
[3749.70s -> 3752.30s]  can basically take advantage of this device level
[3752.34s -> 3753.90s]  sort of sparsity support
[3753.94s -> 3757.24s]  to do multiple expert computations sort of all at once.
[3757.28s -> 3761.54s]  So this is yet another advantage that you get with MOEs.
[3763.88s -> 3767.18s]  So one fun side thing,
[3767.22s -> 3769.36s]  which maybe isn't mysterious to you anymore
[3769.38s -> 3772.26s]  because you've sort of grown up in the era of GPT-4,
[3773.12s -> 3776.20s]  but when the GPT-4 API first came out,
[3776.22s -> 3778.12s]  it was kind of mysterious to me
[3778.12s -> 3780.50s]  because when you set the temperature to zero,
[3780.52s -> 3782.16s]  you kind of got different responses
[3782.20s -> 3785.16s]  even though it's supposed to be deterministic.
[3785.20s -> 3788.76s]  And lots of people speculated about why would that be.
[3788.80s -> 3791.90s]  I'm not saying this is the answer to that reason,
[3791.94s -> 3793.88s]  but there is actually an interesting source
[3793.90s -> 3795.90s]  of randomness in MOEs.
[3795.94s -> 3798.14s]  So in MOEs, think about what happens.
[3798.18s -> 3800.18s]  You're gonna route your tokens to experts,
[3800.22s -> 3802.92s]  and experts live in different devices.
[3802.94s -> 3805.48s]  It could be that you have a lot of examples.
[3805.52s -> 3807.36s]  You're gonna, of course, batch your queries
[3807.36s -> 3808.70s]  when you're processing them.
[3808.72s -> 3810.64s]  And so if you've batched your queries,
[3810.66s -> 3812.94s]  these tokens are gonna get routed into different experts.
[3812.96s -> 3816.84s]  So imagine you've got this batch to process,
[3816.86s -> 3818.30s]  and you've got a bunch of experts.
[3818.34s -> 3820.00s]  But for whatever reason,
[3820.04s -> 3822.60s]  this batch really loves expert number three.
[3822.64s -> 3825.04s]  Like all the tokens go to expert number three.
[3825.08s -> 3826.32s]  So now what happens?
[3826.34s -> 3828.22s]  Well, the device for expert number three
[3828.24s -> 3832.28s]  doesn't have enough memory to load all of those tokens.
[3832.32s -> 3835.52s]  And then what happens is what people call token dropping.
[3835.56s -> 3837.48s]  This happens at training time as well.
[3837.52s -> 3839.76s]  You often have what's called a load factor
[3839.78s -> 3841.82s]  where you're sort of controlling the maximum number
[3841.86s -> 3843.20s]  of allowed tokens.
[3843.22s -> 3845.60s]  And if the router just allocates too many tokens
[3845.62s -> 3848.06s]  to an expert, you just drop those tokens off,
[3848.10s -> 3851.04s]  either for systems reasons or because you're just worried
[3851.06s -> 3852.64s]  that that expert is gonna take over,
[3852.66s -> 3854.40s]  at least in the training time.
[3854.44s -> 3857.00s]  So now this token has gotten dropped,
[3857.04s -> 3858.44s]  and it's not gonna get anything at all.
[3858.48s -> 3860.68s]  Like the MLP is just gonna do a zero computation,
[3860.70s -> 3862.48s]  and the residual connection is just gonna pass things
[3862.48s -> 3865.74s]  straightforward, and then you're gonna return an output.
[3865.78s -> 3867.14s]  And so if your token got dropped,
[3867.18s -> 3868.32s]  you're gonna get a different result
[3868.34s -> 3870.02s]  than if your token didn't get dropped.
[3870.04s -> 3872.82s]  And so based on who else is in your batch,
[3872.86s -> 3874.96s]  MOEs can induce stochasticity,
[3874.98s -> 3876.86s]  both at training time and inference time,
[3876.88s -> 3878.28s]  which is kind of an interesting thing
[3878.32s -> 3879.76s]  that you don't normally think about
[3879.80s -> 3882.82s]  because you almost never think about cross-batch effects
[3882.86s -> 3884.96s]  when doing inference.
[3886.00s -> 3889.36s]  Okay, so that's kind of the main bits
[3889.36s -> 3893.16s]  of the main basic components of building the MOE
[3893.18s -> 3895.06s]  and a fun side thing.
[3895.08s -> 3896.72s]  If you were to actually go out tomorrow
[3896.76s -> 3898.72s]  and trying to train an MOE,
[3898.76s -> 3901.00s]  I think the system side will make you a little bit sad,
[3901.02s -> 3902.66s]  but the other thing that would make you sad
[3902.70s -> 3905.10s]  is probably the stability side of things.
[3906.04s -> 3908.74s]  So MOEs kind of have this property
[3908.76s -> 3910.74s]  that sometimes they'll just kind of blow up on you
[3910.78s -> 3912.24s]  if you try to fine-tune them.
[3912.28s -> 3913.78s]  They're very difficult to fine-tune,
[3913.80s -> 3916.38s]  and they'll sometimes blow up on you.
[3916.50s -> 3921.30s]  And so Barrett, Zoff, and others really studied,
[3921.34s -> 3923.24s]  they had a whole paper on basically
[3923.28s -> 3925.08s]  trying to make MOEs more stable.
[3925.10s -> 3928.92s]  And there's a paper, which is the one I'm referencing here,
[3928.94s -> 3932.08s]  whose entire purpose is to stabilize MOE training.
[3932.12s -> 3935.32s]  And there's a couple of tricks that I'll mention
[3935.36s -> 3938.28s]  that I think are relevant and that people do.
[3938.32s -> 3941.82s]  The first one is if you're doing the router softmax,
[3941.86s -> 3944.30s]  so this goes back to last lecture about stability, right?
[3944.32s -> 3945.96s]  Like what did I say about stability?
[3946.78s -> 3948.68s]  Well, the thing to be afraid of is the softmaxes, right?
[3948.72s -> 3950.82s]  The softmax is always where you want to be afraid,
[3950.86s -> 3955.58s]  and so for the MOEs, they do all the computations
[3955.62s -> 3958.16s]  in float 32 for the router computations,
[3958.18s -> 3959.32s]  just to be safe, right?
[3960.36s -> 3964.66s]  And sometimes they also add an auxiliary Z loss.
[3964.70s -> 3966.90s]  So hopefully you remember that, it was just last lecture.
[3966.94s -> 3968.66s]  You know you do log of the sum
[3968.70s -> 3971.54s]  of the exponentiated values in the softmax,
[3971.56s -> 3973.70s]  and you square that, and you add that as an extra loss.
[3973.72s -> 3976.78s]  So this is gonna keep the normalizer values near one,
[3976.82s -> 3978.38s]  which is nice for stability.
[3978.42s -> 3979.72s]  So this is actually one of the places
[3979.76s -> 3981.66s]  where Z loss was used earlier
[3981.68s -> 3985.52s]  before it got sort of more popular for training models.
[3985.56s -> 3987.46s]  You can kind of see the effects here.
[3987.50s -> 3990.26s]  If you look at the losses, I think the center,
[3990.30s -> 3992.66s]  the second plot here is maybe a great one.
[3992.70s -> 3994.10s]  You know, if you remove the Z loss
[3994.14s -> 3996.70s]  from your routing function,
[3996.74s -> 3999.30s]  you see these like giant loss spikes
[3999.34s -> 4001.74s]  in your validation loss, where the model
[4001.78s -> 4003.72s]  just kind of goes a little bit crazy
[4003.76s -> 4006.36s]  for a couple iterations, and then gets kind of pulled back.
[4006.38s -> 4008.38s]  Of course it like still trains okay,
[4008.42s -> 4010.10s]  but you are better off having the Z loss
[4010.12s -> 4011.20s]  than not having a Z loss.
[4011.22s -> 4013.00s]  There is a pretty noticeable gap
[4013.02s -> 4015.36s]  in the validation loss by the end here, right?
[4018.20s -> 4020.54s]  Other things that can happen,
[4020.56s -> 4023.24s]  people, you know, of course you wanna fine tune your MOE.
[4023.28s -> 4025.04s]  You'd like to also RLHF your MOE
[4025.08s -> 4027.50s]  if you're gonna, you know, ship and release it.
[4027.54s -> 4031.14s]  But this turns out to be kind of problematic.
[4031.14s -> 4032.72s]  Some of the earlier work, you know,
[4032.74s -> 4034.58s]  when people were starting to do MOEs,
[4034.62s -> 4036.98s]  this was back in kind of the BERT and P5 era,
[4037.02s -> 4039.18s]  so there was a lot of fine tuning going on.
[4040.38s -> 4042.62s]  And, you know, one of the things that people saw was,
[4042.66s -> 4044.86s]  you know, actually there's a lot of overfitting
[4044.90s -> 4047.96s]  that happens if you were kind of doing sparse models.
[4048.00s -> 4050.20s]  You see this big gap between train and VAL, right?
[4050.24s -> 4052.54s]  This blue and orange line.
[4052.56s -> 4054.86s]  Whereas the dense model, this green and red line,
[4054.90s -> 4056.88s]  has a smaller train test gap.
[4056.90s -> 4059.54s]  And so there was a lot of worries about overfitting
[4059.54s -> 4061.64s]  because you have these like gigantic parameter models
[4061.68s -> 4063.94s]  that you're fine tuning on small data.
[4063.98s -> 4066.38s]  One of the solutions that was proposed at the time,
[4066.42s -> 4068.38s]  I don't think this is very popular,
[4068.42s -> 4072.12s]  as far as I understand, is to architect your MOEs
[4072.16s -> 4074.40s]  such that not every layer is a MOE layer,
[4074.42s -> 4076.96s]  but you like, let's say, alternate dense layers
[4077.00s -> 4078.20s]  and MOE layers.
[4078.22s -> 4079.80s]  Then you can just fine tune the dense layers,
[4079.82s -> 4081.44s]  and then that will still be fine, right?
[4081.46s -> 4083.84s]  That behaves just like a dense model.
[4083.86s -> 4084.76s]  So that was fine.
[4084.80s -> 4086.40s]  Another solution,
[4086.44s -> 4088.94s]  the one that we saw in the DeepSeek MOE paper,
[4088.94s -> 4090.30s]  is just kind of use a lot of data.
[4090.34s -> 4091.94s]  Like if overfitting is a problem,
[4091.98s -> 4094.52s]  you know, we have access to lots and lots of SFT data,
[4094.54s -> 4096.12s]  just shovel all of those guys in.
[4096.14s -> 4097.82s]  So in the case of DeepSeek MOE,
[4097.84s -> 4101.32s]  they use 1.4 million training examples.
[4101.36s -> 4103.52s]  Then maybe you're not quite as worried
[4103.56s -> 4105.22s]  about these overfitting concerns.
[4107.06s -> 4108.36s]  The last thing I'll end with,
[4108.40s -> 4110.96s]  which is a trick in the toolkit
[4111.00s -> 4115.04s]  that people have done and seen, is upcycling.
[4115.06s -> 4118.60s]  And so this idea is to take a dense model,
[4118.60s -> 4121.86s]  like the one over here, and then you take your MLP
[4121.90s -> 4124.24s]  and you make a bunch of copies of it,
[4124.26s -> 4126.20s]  and then you maybe perturb it,
[4126.24s -> 4128.00s]  and then you have your router
[4128.04s -> 4129.54s]  that's initialized from scratch,
[4129.58s -> 4131.40s]  and then you just pretend this is a MOE,
[4131.44s -> 4133.24s]  and then you train it from that point on, right?
[4133.28s -> 4136.08s]  You just initialize the MOE from a dense model.
[4136.12s -> 4139.52s]  And this is a trick that's kind of called upcycling,
[4139.54s -> 4143.16s]  and people have shown that if you can get it to work,
[4143.18s -> 4145.68s]  it is a very, very, very cost-effective way
[4145.72s -> 4146.96s]  of getting a MOE, right?
[4146.96s -> 4148.82s]  And the MOE is great for inference
[4148.86s -> 4151.72s]  because not every MLP is gonna be active
[4151.76s -> 4153.70s]  at inference time, right?
[4153.72s -> 4155.96s]  So you might effectively get a much larger
[4156.00s -> 4158.10s]  parameter model without doing the training
[4158.12s -> 4160.50s]  of a much larger parameter model.
[4160.54s -> 4163.20s]  And several people have succeeded at this.
[4163.24s -> 4166.08s]  MiniCPM, which I'll mention again
[4166.10s -> 4170.38s]  in the scaling law lecture, but this is a Chinese open LLM
[4170.40s -> 4171.82s]  that basically tried to build
[4171.84s -> 4174.34s]  really good small language models,
[4174.38s -> 4176.44s]  and they succeeded at taking a dense model
[4176.46s -> 4178.06s]  and upcycling it into a MOE,
[4178.10s -> 4179.60s]  and you can see that their numbers get
[4179.64s -> 4181.54s]  significantly better in the last two rows, right?
[4181.56s -> 4183.10s]  So the dense model to the MOE,
[4183.14s -> 4186.50s]  they get a pretty non-trivial bump in performance.
[4186.54s -> 4189.28s]  Quen, I mentioned at the start of this lecture,
[4189.30s -> 4191.34s]  one of their earliest attempts at MOE
[4191.38s -> 4193.28s]  was taking one of their dense models
[4193.32s -> 4195.82s]  and then building a upcycled MOE,
[4195.84s -> 4199.38s]  and they got fairly significant performance gains
[4199.42s -> 4202.36s]  relative to sort of smaller models at the time.
[4202.38s -> 4205.02s]  Like they got models on par with their 7B models
[4205.04s -> 4207.98s]  with a 2.7 billion parameter active model.
[4211.14s -> 4215.98s]  So to wrap up, I want to sort of walk through
[4216.02s -> 4219.46s]  the DeepSeq MOE architecture at the very end here.
[4219.48s -> 4221.96s]  And hopefully this will give you a sense of,
[4221.98s -> 4223.22s]  the first thing I want to do is I want you
[4223.26s -> 4226.56s]  to understand the DeepSeq v3 architecture setup
[4226.60s -> 4228.42s]  and all the changes that they did,
[4228.46s -> 4230.86s]  because that's an example of modern,
[4230.90s -> 4233.06s]  high-performance, open-source system.
[4233.10s -> 4234.66s]  I also want you to just maybe appreciate
[4235.34s -> 4236.54s]  that architectures don't change that much.
[4236.58s -> 4239.78s]  DeepSeq v1, or DeepSeq MOE v1,
[4241.82s -> 4243.38s]  it's not that new.
[4243.42s -> 4245.78s]  It's like maybe a year and a half or something,
[4245.82s -> 4249.02s]  maybe two years old, and they basically
[4249.06s -> 4250.66s]  nailed the architecture at that point.
[4250.68s -> 4252.76s]  So I want you to see what they changed
[4252.78s -> 4256.60s]  from the earliest attempt to their big training run.
[4256.62s -> 4258.80s]  So this is the very first starting point.
[4258.82s -> 4260.70s]  This is DeepSeq MOE.
[4260.72s -> 4262.80s]  I'm calling it v1, but actually probably the right way
[4262.84s -> 4264.56s]  to refer to it is DeepSeq MOE.
[4264.56s -> 4266.34s]  It's a 16 billion parameter model
[4266.36s -> 4269.18s]  with 2.8 of those parameters active.
[4269.20s -> 4271.58s]  And you've seen already this diagram over here.
[4271.60s -> 4276.58s]  This is the two shared plus 64 fine-grained experts,
[4278.12s -> 4281.72s]  of which four of them are active at a time.
[4281.76s -> 4284.26s]  Maybe six of them are active at a time, sorry.
[4284.28s -> 4286.32s]  And the routing, you've already seen this.
[4286.36s -> 4288.56s]  I presented this in the middle of the lecture here.
[4288.60s -> 4290.90s]  This is the very standard TopK routing
[4290.92s -> 4292.30s]  where the softmax is at the bottom
[4292.30s -> 4294.30s]  before the TopK selection.
[4294.34s -> 4296.94s]  And for balancing, at training time,
[4296.98s -> 4300.22s]  all they do is to add this auxiliary loss balancing term,
[4300.24s -> 4302.88s]  both the expert and device level balancing terms.
[4302.92s -> 4305.22s]  So hopefully you remember those from earlier.
[4305.26s -> 4306.88s]  So that's the v1.
[4306.92s -> 4310.46s]  And then they saw how sort of effective
[4310.50s -> 4311.82s]  their MOE model was.
[4311.86s -> 4314.32s]  So I guess to add some more context,
[4314.36s -> 4316.86s]  DeepSeq originally had a dense model,
[4316.90s -> 4318.44s]  and then they had a MOE model.
[4318.46s -> 4320.90s]  And the MOE model was remarkably good.
[4320.90s -> 4325.14s]  And so when they went to v2, they went straight to the MOE.
[4325.18s -> 4328.48s]  And now this is a 236 billion parameter model,
[4328.52s -> 4331.88s]  of which 21 of those billion parameters are active.
[4331.92s -> 4333.38s]  So you need a lot of memory,
[4333.42s -> 4336.26s]  but your flops consumption for inferencing this model
[4336.28s -> 4337.66s]  is not so bad.
[4337.68s -> 4340.16s]  Now, the architecture is identical.
[4340.18s -> 4341.92s]  I copied literally the same figure
[4341.96s -> 4344.12s]  because the architecture is literally the same,
[4344.16s -> 4348.64s]  minus changes to the number of experts that are active.
[4349.64s -> 4353.62s]  And we've got now sort of some new things happening,
[4353.64s -> 4355.38s]  but not too many new things.
[4355.42s -> 4357.88s]  So the top case selector is the same.
[4357.92s -> 4360.28s]  So the equation from before, this previous equation,
[4360.32s -> 4361.38s]  this is identical.
[4361.42s -> 4363.82s]  This is still how they do things.
[4363.86s -> 4366.92s]  But they have this very clever trick that they add on.
[4366.96s -> 4370.26s]  And this is, I was gonna say at the very beginning,
[4370.30s -> 4372.36s]  what's the drawback of having fine-grained experts?
[4372.40s -> 4373.66s]  Why can't I have, I don't know,
[4373.70s -> 4377.50s]  1024 fine-grained experts or 2046 fine-grained experts?
[4377.66s -> 4378.90s]  Well, the problem is,
[4378.94s -> 4381.14s]  when you shard your experts very finely,
[4381.16s -> 4383.40s]  and you have a lot of active experts,
[4383.44s -> 4385.24s]  you're gonna have to route to those experts.
[4385.28s -> 4387.68s]  So your communication costs potentially grow,
[4387.70s -> 4389.18s]  and if you're very fragmented,
[4389.20s -> 4391.24s]  you might have to send a lot of tokens
[4391.28s -> 4393.02s]  to a lot of devices.
[4393.04s -> 4396.58s]  And so the clever thing they come up with is to say,
[4396.62s -> 4399.32s]  I'm not just gonna, for each batch,
[4399.36s -> 4401.32s]  route to the top K experts naively,
[4401.36s -> 4402.86s]  which might force me to send my tokens
[4402.88s -> 4404.32s]  to lots of devices.
[4404.36s -> 4407.06s]  What I'm going to do is I'm gonna first pick
[4407.06s -> 4408.92s]  top M devices, right?
[4408.96s -> 4411.56s]  So I'm gonna do my normal scoring calculation,
[4411.60s -> 4413.52s]  but I'm first gonna sort of subset
[4413.56s -> 4416.52s]  the set of allowed devices to top M, right?
[4416.56s -> 4418.10s]  And once I've picked my devices,
[4418.14s -> 4420.04s]  then I'm gonna pick top K for each token
[4420.06s -> 4421.46s]  within each device, right?
[4421.50s -> 4423.36s]  So now I've restricted the devices,
[4423.40s -> 4425.78s]  this really controls the communication costs,
[4425.80s -> 4427.90s]  and now this gives you more efficient training
[4427.94s -> 4430.18s]  when you're scaling up to these gigantic sizes, right?
[4430.20s -> 4431.64s]  You need to start really engaging
[4431.68s -> 4433.38s]  with the systems aspect of things
[4433.42s -> 4436.68s]  when you're training a 236 billion parameter model.
[4437.54s -> 4439.44s]  The other thing, which reflects the systems concerns
[4439.48s -> 4441.18s]  that are necessary at this scale,
[4441.20s -> 4444.48s]  is that they add a communication balancing loss.
[4444.52s -> 4446.32s]  One way of thinking about things is,
[4446.34s -> 4448.68s]  for an expert, there's kind of inputs and outputs, right?
[4448.72s -> 4450.98s]  The inputs are, the token comes in
[4451.02s -> 4452.36s]  and you route to your expert.
[4452.38s -> 4454.26s]  And the outputs are, you have to kind of
[4454.28s -> 4456.16s]  bring the tokens back where they belong, right?
[4456.18s -> 4457.86s]  So if a batch belongs on this device,
[4457.90s -> 4460.40s]  it has to go back where the original device was.
[4460.42s -> 4461.32s]  So we have to think about both
[4461.36s -> 4462.70s]  the input communication cost
[4462.72s -> 4464.36s]  and the output communication cost.
[4464.40s -> 4466.16s]  And so they add a balancing loss
[4466.18s -> 4468.72s]  to try to balance out the output communication cost as well,
[4468.74s -> 4470.48s]  not just the sort of input side.
[4470.52s -> 4472.08s]  So that's a minor note,
[4472.12s -> 4474.16s]  but you can kind of see their attention to detail
[4474.18s -> 4475.92s]  on trying to make sure all of the different
[4475.96s -> 4480.50s]  sort of systems aspects are properly taken care of.
[4480.52s -> 4485.10s]  And then finally, we kind of get to the big DeepSeek V3.
[4485.14s -> 4487.16s]  Sorry, that should say V3, not V2 up there.
[4487.20s -> 4491.74s]  671 billion parameters of which 37 are active.
[4491.78s -> 4494.74s]  Once again, exactly the same figure,
[4494.76s -> 4496.86s]  because the MOE architecture itself doesn't change.
[4496.90s -> 4498.80s]  That's stayed the same since DeepSeek MOE, right?
[4498.84s -> 4500.76s]  Like if it works, don't change it.
[4500.80s -> 4502.84s]  They do change a couple things.
[4502.86s -> 4504.84s]  Maybe they were hearing you all say,
[4504.86s -> 4506.64s]  why don't you normalize to one?
[4506.66s -> 4508.50s]  And so they've normalized the gate to one.
[4508.54s -> 4510.90s]  They've moved kind of the softmax normalizer operation
[4510.94s -> 4514.28s]  up there, but they're not actually exponentiating
[4514.30s -> 4516.34s]  sort of the sort of gating decisions.
[4516.38s -> 4518.24s]  They're actually taking sigmoids,
[4518.28s -> 4519.54s]  which is a sort of softer,
[4519.58s -> 4523.98s]  sort of more nicely behaved operation than the softmax.
[4524.16s -> 4526.00s]  So they've got some changes here,
[4526.02s -> 4527.50s]  but conceptually this is still the same
[4527.52s -> 4529.00s]  as the top K routing decision, right?
[4529.02s -> 4532.40s]  You hopefully see very, very similar things happening.
[4532.44s -> 4535.00s]  And then in terms of the losses,
[4535.04s -> 4537.90s]  they've gone to this auxiliary loss-free trick
[4537.94s -> 4540.44s]  of this B of I being incremented or decremented
[4540.48s -> 4541.88s]  based on the expert load.
[4541.90s -> 4545.28s]  And then they have a sequence-wise auxiliary loss.
[4545.32s -> 4546.72s]  And just to add some context,
[4546.74s -> 4550.54s]  why would you want to balance different experts
[4550.58s -> 4552.02s]  on a single sequence?
[4552.06s -> 4554.22s]  Well, the thing that they're very concerned about
[4554.26s -> 4556.14s]  is at training time,
[4556.16s -> 4559.06s]  it's fine to not have a sequence-wise balancing loss.
[4559.10s -> 4561.04s]  But at inference time, it might be the case
[4561.06s -> 4564.00s]  that someone sends you very out of distribution sequences
[4564.04s -> 4566.10s]  and that might overwhelm certain experts, right?
[4566.14s -> 4567.78s]  So at inference time, you can't control
[4567.80s -> 4569.12s]  which sequences you get.
[4569.14s -> 4571.62s]  So you might want sort of stronger balancing
[4571.64s -> 4573.62s]  that operates at a single sequence level
[4573.64s -> 4575.68s]  rather than at an overall batch level.
[4577.56s -> 4580.02s]  Okay, and then in the, oh, sorry, yes.
[4581.02s -> 4586.02s]  Does B3 still do the top M devices?
[4586.06s -> 4588.36s]  Like, does it keep the B2 improvement?
[4588.40s -> 4590.60s]  Yeah, they keep the top M improvement.
[4590.64s -> 4593.36s]  They do not keep, for example, the communication loss.
[4593.40s -> 4595.40s]  So they've jettisoned some things,
[4595.44s -> 4596.78s]  but top M is a, I mean,
[4596.80s -> 4598.74s]  it seems like a pretty clever idea they keep it.
[4598.78s -> 4599.60s]  Yeah.
[4602.14s -> 4604.08s]  Yeah, but it's not like they always add things.
[4604.12s -> 4606.04s]  They have removed some of the things.
[4607.78s -> 4609.96s]  And so in the last two or so minutes,
[4610.02s -> 4612.92s]  of the class, I'm gonna go over the non-MOE parts
[4612.96s -> 4616.00s]  of DeepSeq V3, because I think we're already at the point
[4616.02s -> 4617.92s]  where I've explained most of DeepSeq V3.
[4617.96s -> 4619.56s]  I might as well go through the steps
[4619.60s -> 4621.80s]  of explaining the rest of DeepSeq V3 at this point,
[4621.84s -> 4623.90s]  so you all know kind of how that works.
[4623.94s -> 4627.80s]  So they have a clever sort of optimization
[4627.84s -> 4629.48s]  for the attention piece called MLA,
[4629.50s -> 4631.50s]  or multi-head latent attention.
[4631.54s -> 4634.74s]  And you all actually already know all the ingredients
[4634.78s -> 4635.94s]  that you need to understand this,
[4635.98s -> 4637.78s]  because at the end of last lecture,
[4637.82s -> 4639.94s]  I talked about like GQA and MHA, right?
[4639.94s -> 4642.94s]  So those are all inference optimizations that you need
[4642.98s -> 4645.54s]  in order to optimize the size of the KV cache.
[4645.58s -> 4648.12s]  So the DeepSeq folks take a different pack,
[4648.14s -> 4650.04s]  or different approach at optimizing this.
[4650.08s -> 4652.82s]  Instead of reducing the number of heads,
[4652.84s -> 4654.62s]  they're actually gonna sort of project the heads
[4654.66s -> 4656.22s]  into a lower dimensional space.
[4656.26s -> 4658.12s]  So you have your inputs H of T,
[4658.16s -> 4660.66s]  and instead of sort of generating the Ks and Vs
[4660.70s -> 4662.42s]  directly from these H of Ts,
[4662.46s -> 4664.76s]  what I'm going to do is I'm gonna first generate
[4664.80s -> 4667.06s]  a low dimensional C, you can think of this
[4667.08s -> 4669.92s]  as like a compressed version of H.
[4669.96s -> 4673.56s]  And this C is going to be smaller and easier to cache,
[4673.60s -> 4675.30s]  and I'm just gonna cache these Cs,
[4675.32s -> 4677.86s]  and whenever I need these Ks and Vs,
[4677.90s -> 4680.54s]  well, I can sort of up project from this KV,
[4680.56s -> 4682.20s]  sort of conceptually speaking,
[4682.24s -> 4685.14s]  and then I can take the inner products with the Qs, right?
[4685.18s -> 4686.50s]  So you can kind of see how this would be
[4686.54s -> 4690.24s]  a KV cache savings if I only have to save the C
[4690.28s -> 4692.64s]  instead of the higher dimensional H of T.
[4694.22s -> 4695.64s]  And that's exactly the idea.
[4695.66s -> 4697.00s]  So you take your H of T,
[4697.04s -> 4699.60s]  you project it into a lower dimensional C,
