# Detected language: en (p=1.00)

[0.00s -> 1.74s]  Stanford University.
[4231.54s -> 4233.54s]  that you might want to use.
[4233.54s -> 4235.54s]  And so, we'll also talk about different kinds
[4235.54s -> 4238.54s]  of neural network architectures.
[4238.54s -> 4240.54s]  So we gave the example
[4241.54s -> 4244.54s]  of these fully connected neural networks, right,
[4244.54s -> 4247.54s]  where each layer is this matrix multiply.
[4247.54s -> 4249.54s]  And so, so the way we,
[4250.54s -> 4252.54s]  so the way we actually want to call these
[4252.54s -> 4255.54s]  is we set two-layer neural network before,
[4255.54s -> 4257.54s]  and that corresponded to the fact that we have
[4257.54s -> 4260.54s]  two of these linear layers, right,
[4260.54s -> 4262.54s]  where we're doing a matrix multiply.
[4262.54s -> 4265.54s]  Two fully connected layers is what we call these.
[4265.54s -> 4268.54s]  We could also call this a one-hidden layer neural network.
[4268.54s -> 4270.54s]  So instead of counting the number
[4270.54s -> 4272.54s]  of matrix multiplies we're doing,
[4272.54s -> 4274.54s]  counting the number of hidden layers that we have.
[4274.54s -> 4276.54s]  I think it's, you can use either.
[4276.54s -> 4278.54s]  I think maybe two-layer neural network
[4278.54s -> 4280.54s]  is something that's a little more commonly used.
[4280.54s -> 4282.54s]  And then also here,
[4282.54s -> 4284.54s]  for our three-layer neural network that we have,
[4284.54s -> 4288.54s]  this can also be called a two-hidden layer neural network.
[4292.54s -> 4295.54s]  And so, we saw that, you know,
[4295.54s -> 4297.54s]  when we're doing this type of feed-forward, right,
[4297.54s -> 4300.54s]  forward pass through a neural network,
[4300.54s -> 4303.54s]  each of these, each of these
[4304.54s -> 4307.54s]  nodes in this network is basically
[4308.54s -> 4311.54s]  doing the kind of operation of the neuron
[4311.54s -> 4315.54s]  that I, you know, showed earlier, right?
[4315.54s -> 4317.54s]  And so, what's actually happening is
[4317.54s -> 4319.54s]  it's basically each hidden layer
[4319.54s -> 4321.54s]  you can think of as a whole vector, right,
[4321.54s -> 4323.54s]  a set of these neurons.
[4323.54s -> 4325.54s]  And so, by writing it out this way
[4325.54s -> 4330.54s]  with these matrix multiplies to compute our neuron values,
[4330.54s -> 4332.54s]  it's a way that we can officially evaluate
[4332.54s -> 4334.54s]  this entire layer of neurons, right?
[4334.54s -> 4336.54s]  So with one matrix multiply,
[4336.54s -> 4339.54s]  we get output values of, you know,
[4339.54s -> 4344.54s]  of a layer of, let's say, 10 or 50 or 100 of neurons.
[4345.54s -> 4348.54s]  Right, and so, so looking at this,
[4348.54s -> 4352.54s]  again, writing this all out in matrix form,
[4352.54s -> 4355.54s]  matrix vector form, we have our, you know,
[4355.54s -> 4358.54s]  nonlinearity here, f, that we're using,
[4358.54s -> 4360.54s]  in this case, the sigmoid function, right?
[4360.54s -> 4365.54s]  And we can take our data x, some input vector of values,
[4365.54s -> 4367.54s]  and we can apply our first matrix multiply,
[4367.54s -> 4372.54s]  w1 on top of this, then our nonlinearity,
[4372.54s -> 4373.54s]  then a second matrix multiply
[4373.54s -> 4375.54s]  to get a second hidden layer, h2,
[4375.54s -> 4378.54s]  and then we have our final output, right?
[4378.54s -> 4381.54s]  And so, you know, this is basically all you need
[4381.54s -> 4384.54s]  to be able to write a neural network.
[4384.54s -> 4387.54s]  And as we saw earlier, the backward pass,
[4387.54s -> 4390.54s]  you then just use backprop to compute all of those.
[4390.54s -> 4394.54s]  And so, that's basically all there is
[4394.54s -> 4398.54s]  to kind of the main idea of what's a neural network.
[4400.54s -> 4402.54s]  Okay, so just to summarize,
[4402.54s -> 4406.54s]  we talked about how we can arrange neurons
[4406.54s -> 4407.54s]  into these computations, right,
[4407.54s -> 4410.54s]  of fully connected or linear layers.
[4410.54s -> 4413.54s]  This abstraction of a layer has a nice property
[4413.54s -> 4415.54s]  that we can use very efficient vectorized code
[4415.54s -> 4417.54s]  to compute all of these.
[4417.54s -> 4420.54s]  We also talked about how it's important to keep in mind
[4420.54s -> 4423.54s]  that neural networks do have some, you know,
[4423.54s -> 4426.54s]  analogy and loose inspiration from biology,
[4426.54s -> 4428.54s]  but they're not really neural.
[4428.54s -> 4430.54s]  I mean, this is a pretty loose analogy
[4430.54s -> 4431.54s]  that we're making.
[4431.54s -> 4433.54s]  And next time, we'll talk about
[4433.54s -> 4435.54s]  convolutional neural networks.
[4435.54s -> 4436.54s]  Okay, thanks.
