# Detected language: en (p=1.00)

[0.00s -> 2.48s]  Welcome to Wednesday.
[3719.48s -> 3723.28s]  And in this case that just took us a little time to add it.
[3723.28s -> 3724.76s]  And that's the way it goes.
[3726.76s -> 3727.60s]  Question.
[3727.60s -> 3729.20s]  Well, but the date still gets printed
[3729.20s -> 3730.30s]  before you add the job.
[3730.30s -> 3732.40s]  Yeah, the date gets printed before we add the job.
[3732.40s -> 3733.88s]  We don't really care about that
[3733.88s -> 3735.32s]  because we've said to the,
[3735.32s -> 3736.54s]  that's a good point though.
[3736.54s -> 3739.08s]  We said, hey, go run, right?
[3739.08s -> 3740.96s]  We're trying to do our own like adding in,
[3740.96s -> 3742.20s]  we're trying to do our own bookkeeping,
[3742.20s -> 3744.00s]  but yeah, you're off and running, right?
[3744.04s -> 3745.26s]  Now, if you want to do that,
[3745.26s -> 3746.80s]  yeah, you wouldn't.
[3746.80s -> 3747.88s]  If you needed to do that,
[3747.88s -> 3750.90s]  we would have done something like this.
[3750.90s -> 3753.12s]  If you said, wait, I don't even want date to run
[3753.12s -> 3756.64s]  before we did the exec CVP, right?
[3756.64s -> 3759.28s]  Like we would have to, before we even forked,
[3759.28s -> 3762.20s]  we would have to then figure out like how to do that.
[3762.20s -> 3763.48s]  Now, this might actually,
[3763.48s -> 3765.96s]  this also might be like an issue you can't,
[3765.96s -> 3768.00s]  in this case, we would have to do something else
[3768.00s -> 3771.80s]  to try to figure out like how to wait to print
[3771.80s -> 3774.00s]  until the parent has done it.
[3774.00s -> 3775.24s]  But once you've got a child and a parent,
[3775.24s -> 3777.12s]  they're kind of independent anyway.
[3777.12s -> 3779.00s]  So you're not really gonna wanna,
[3779.00s -> 3780.24s]  you're not gonna be able to wait
[3780.24s -> 3781.40s]  for the parent on the child.
[3781.40s -> 3782.60s]  The child is not really gonna be able
[3782.60s -> 3784.82s]  to wait for the parent itself.
[3784.82s -> 3786.64s]  So you've gotta be able to figure some other logic
[3786.64s -> 3787.84s]  out to do that.
[3787.84s -> 3788.98s]  Yeah.
[3788.98s -> 3790.40s]  Yeah.
[3790.48s -> 3791.32s]  Sorry.
[3802.86s -> 3804.04s]  Very good question.
[3804.04s -> 3805.08s]  The question was, wait,
[3805.08s -> 3808.80s]  is reprocesses also passed down to the child?
[3808.80s -> 3812.00s]  It certainly is because it's part of the program, right?
[3812.00s -> 3814.96s]  So the child has access to all its own functions.
[3814.96s -> 3817.92s]  Now, the child's reprocess won't get called
[3817.92s -> 3822.64s]  when the child ends because it's not,
[3822.64s -> 3825.00s]  it doesn't have a child that's ended.
[3825.00s -> 3826.04s]  That was a good inception, Mike.
[3826.04s -> 3826.88s]  You mentioned earlier how the date
[3826.88s -> 3828.16s]  might have a child process.
[3828.16s -> 3829.92s]  Yeah, yeah, right.
[3829.92s -> 3831.84s]  The date might have a child process,
[3831.84s -> 3834.04s]  in which case, then it would get called.
[3834.04s -> 3837.04s]  And in that case, we would have more job reforms
[3837.04s -> 3841.68s]  than job added because we never did a job added.
[3841.68s -> 3842.50s]  Yeah, yeah.
[3842.50s -> 3843.64s]  So the question was, wait, wait, wait, wait.
[3843.64s -> 3845.30s]  If the date did have a child,
[3845.30s -> 3847.80s]  then this signal might get called.
[3848.64s -> 3852.36s]  Now, likely, the child would set up its own,
[3852.36s -> 3854.08s]  well, actually, that's a good point.
[3854.08s -> 3855.84s]  In this case, this one would have, sure,
[3855.84s -> 3857.16s]  it might have gotten called
[3857.16s -> 3859.60s]  if the child process had a child process.
[3859.60s -> 3862.44s]  Yeah, if the child process had a child process.
[3862.44s -> 3864.60s]  Yeah, the child's one would get called.
[3864.60s -> 3866.44s]  It wouldn't get added to the parent's job list.
[3866.44s -> 3869.04s]  It would get added to the child's job list,
[3869.04s -> 3871.00s]  or I guess it would get removed
[3871.00s -> 3871.92s]  from the child's job list.
[3871.92s -> 3873.20s]  So you would have to put more logic in there
[3873.20s -> 3874.64s]  if you cared about that.
[3874.64s -> 3876.02s]  Yeah, yeah, good point.
[3876.02s -> 3876.86s]  Yeah.
[3876.86s -> 3879.70s]  What you could also do is you can basically say,
[3879.70s -> 3881.98s]  you can set up the signal,
[3881.98s -> 3885.32s]  you can say signal with a null value.
[3885.32s -> 3888.12s]  Well, basically, it's saying don't handle it anymore.
[3888.12s -> 3890.28s]  You could do that in the child if you cared about that.
[3890.28s -> 3892.26s]  We happen to not care about that for this part.
[3892.26s -> 3893.44s]  Good, very good, good point.
[3893.44s -> 3894.70s]  There are lots of things to think about
[3894.70s -> 3896.54s]  with these things when you're building these real programs.
[3896.54s -> 3897.38s]  Yeah.
[3898.48s -> 3901.50s]  So a sigblock, does that not allow the program
[3901.50s -> 3903.62s]  to receive signals or send signals?
[3903.62s -> 3905.26s]  It does not allow, good question.
[3905.28s -> 3907.82s]  The question was, does sigblock not allow the program
[3907.82s -> 3909.06s]  to receive signals or send it?
[3909.06s -> 3913.46s]  It doesn't allow the parent, in this case,
[3913.46s -> 3915.78s]  to receive that signal.
[3915.78s -> 3917.94s]  Its signal handler will not get called.
[3917.94s -> 3919.74s]  It may be queued up to get called later,
[3919.74s -> 3921.38s]  but it will not get called.
[3921.38s -> 3922.22s]  Good question.
[3923.06s -> 3923.88s]  Yeah.
[3923.88s -> 3924.72s]  I was gonna ask, is there a limit
[3924.72s -> 3928.90s]  to how many signals the operating system
[3928.90s -> 3930.86s]  will block and store?
[3930.86s -> 3931.70s]  Oh, good question.
[3931.70s -> 3935.18s]  If there's some list or some queue limit
[3935.18s -> 3937.76s]  on the number of signals, I don't know of any.
[3937.76s -> 3939.80s]  It's probably big enough that it's not gonna matter.
[3939.80s -> 3941.44s]  Like, it's probably thousands,
[3941.44s -> 3942.82s]  and you probably likely won't be able
[3942.82s -> 3946.54s]  to even create thousands of children anyway or whatever.
[3946.54s -> 3948.38s]  So it's probably some limit
[3948.38s -> 3949.62s]  that we aren't gonna worry about.
[3949.62s -> 3950.74s]  Yeah, good question.
[3951.62s -> 3956.62s]  If we commented this out,
[3958.10s -> 3959.46s]  it's gonna run exactly the same
[3959.46s -> 3961.66s]  because the child isn't gonna get any children,
[3962.64s -> 3963.86s]  and it's not gonna matter anyway.
[3963.86s -> 3967.62s]  Although, if we ran another program that had children,
[3967.62s -> 3968.94s]  yeah, it probably would print
[3968.94s -> 3970.34s]  that some job has been added,
[3970.34s -> 3971.38s]  and I'd be like, well, that's weird.
[3971.38s -> 3972.86s]  Why would that happen, right?
[3972.86s -> 3975.88s]  But no, in this case, not gonna matter.
[3978.10s -> 3979.82s]  Did I delete the wrong one?
[3979.82s -> 3980.98s]  Oh no, thank you for.
[3983.46s -> 3985.86s]  Oh, you wanna do this one.
[3985.86s -> 3988.86s]  That one would just make you behave as it did before.
[3988.86s -> 3990.10s]  That one, thank you.
[3992.38s -> 3994.78s]  All right, jobless synchronization.
[3994.78s -> 3996.58s]  Yeah, same sort of thing.
[3996.58s -> 3999.22s]  No children for the children are getting,
[3999.22s -> 4000.06s]  calling that function.
[4000.06s -> 4000.90s]  Yeah?
[4000.90s -> 4002.72s]  If you had one that did.
[4004.46s -> 4007.06s]  Right, if date had its own child process,
[4007.06s -> 4008.06s]  yeah, we probably would have gotten
[4008.06s -> 4009.42s]  a weird printf in there that said
[4009.42s -> 4011.74s]  some other process had been added to the jobless.
[4011.74s -> 4014.22s]  So again, when you're trying to do these things,
[4014.22s -> 4015.58s]  you have to kind of keep track
[4015.58s -> 4017.30s]  of some of the details of these
[4017.30s -> 4020.14s]  because it's tricky.
[4020.78s -> 4021.66s]  Good question.
[4021.66s -> 4022.50s]  Yeah?
[4022.50s -> 4024.78s]  Is there a way to remove the connection
[4024.78s -> 4028.90s]  between the function pointer and the signal?
[4028.90s -> 4029.92s]  Yeah, good question.
[4029.92s -> 4033.50s]  If you want to say, stop calling
[4033.50s -> 4035.82s]  my function or signal handler,
[4035.82s -> 4037.88s]  I forget exactly what it is,
[4037.88s -> 4040.10s]  but it's another, you basically do signal
[4040.10s -> 4041.30s]  and then instead of SIGCHILD,
[4041.30s -> 4043.74s]  it's like no signal, it's not that,
[4043.74s -> 4045.14s]  but it's something like that.
[4045.14s -> 4046.42s]  I don't remember exactly what it is,
[4046.42s -> 4048.06s]  but that's what it is.
[4048.06s -> 4050.54s]  In fact, we can look it up.
[4050.54s -> 4055.12s]  If we do man signal, let's see.
[4055.12s -> 4055.96s]  Here we go.
[4057.34s -> 4058.82s]  Let's see, SIG, here we go.
[4058.82s -> 4063.08s]  SIGIGN means the signal's gonna get ignored.
[4063.08s -> 4067.92s]  Or SIGDFL means that the default action will happen.
[4067.92s -> 4070.20s]  So you just pass that into signal
[4070.20s -> 4072.48s]  and it goes, oh, all right, no more SIGCHILD.
[4072.48s -> 4075.14s]  It's gonna be called in my process.
[4075.14s -> 4075.98s]  Good question.
[4077.10s -> 4077.94s]  All right.
[4078.90s -> 4080.26s]  Kind of nice when you have the manual right there,
[4080.26s -> 4081.12s]  your fingertips.
[4082.46s -> 4083.30s]  Okay, all right.
[4083.30s -> 4086.36s]  So those are the signals there.
[4086.36s -> 4091.36s]  We have gone through the different types of signals.
[4091.78s -> 4093.62s]  We can actually write a little function
[4093.62s -> 4094.68s]  to kind of capture this
[4094.68s -> 4097.52s]  instead of writing each little part out individually.
[4097.52s -> 4100.34s]  In this case, we could write impose SIGCHILD block,
[4100.34s -> 4102.32s]  which does sets up a set
[4102.32s -> 4105.02s]  and then calls SIGPROCMAS to block,
[4105.02s -> 4107.18s]  and then we could do the exact lift one,
[4107.18s -> 4109.82s]  which does the same sort of thing except unblocks it.
[4109.82s -> 4111.96s]  You could also have one that toggles it if you want to,
[4111.96s -> 4113.16s]  and you'll see those functions.
[4113.16s -> 4115.92s]  We've written some of those functions for you there.
[4116.94s -> 4118.92s]  Okay, all right.
[4119.82s -> 4122.54s]  We already did this, the improved job list.
[4122.54s -> 4126.14s]  And what else can we say for it?
[4127.02s -> 4128.82s]  Yeah, as I said, fork processes
[4128.82s -> 4131.02s]  inherit the block signal sets.
[4131.02s -> 4133.36s]  So it should lift that signal
[4133.36s -> 4135.46s]  just in case the child cares about it.
[4135.50s -> 4137.34s]  And as people have already mentioned,
[4137.34s -> 4142.06s]  it probably should also get rid of that signal handler too
[4142.06s -> 4144.06s]  so it doesn't get called when the child ends
[4144.06s -> 4145.70s]  because that's not part of our program.
[4145.70s -> 4147.26s]  So again, things you have to think about
[4147.26s -> 4148.94s]  when you're building these for real.
[4148.94s -> 4150.42s]  You have to do lots and lots of testing
[4150.42s -> 4151.70s]  on this sort of stuff.
[4151.70s -> 4153.22s]  Okay, two more quick signals
[4153.22s -> 4157.02s]  or two more quick system calls here.
[4157.02s -> 4160.38s]  Processes can send messages to other processes
[4160.38s -> 4162.32s]  without something happening.
[4162.32s -> 4165.34s]  You are allowed to send a signal to another process.
[4166.18s -> 4170.18s]  You do it using a slightly ill-defined command called kill.
[4170.18s -> 4172.62s]  Now kill was named because the only signal
[4172.62s -> 4175.58s]  that they originally sent was one to terminate a process.
[4175.58s -> 4177.22s]  Basically said kill this process
[4177.22s -> 4179.74s]  and it means not make it stop running.
[4179.74s -> 4180.58s]  Right, so that was the original.
[4180.58s -> 4181.42s]  And then they said, well,
[4181.42s -> 4182.74s]  what if we want to send other signals?
[4182.74s -> 4183.78s]  Let's just keep kill.
[4183.78s -> 4185.28s]  Why didn't you call it send signal or something?
[4185.28s -> 4186.12s]  I don't know.
[4186.12s -> 4188.22s]  But they kept it as called kill.
[4188.22s -> 4189.58s]  Okay, so it doesn't actually kill.
[4189.58s -> 4191.14s]  If you send a SIG kill,
[4191.14s -> 4194.22s]  yes, it will terminate the process.
[4194.26s -> 4199.26s]  But otherwise, you are allowed to give an AP ID,
[4199.26s -> 4201.58s]  send a particular signal.
[4201.58s -> 4204.58s]  Okay, so if you want to send the SIG child signal
[4204.58s -> 4207.14s]  to a particular process, you can send it.
[4207.14s -> 4208.86s]  You can also send,
[4208.86s -> 4211.34s]  I think there's two other ones called like,
[4211.34s -> 4215.60s]  it's SIG, I think it's SIG USR one,
[4215.60s -> 4218.42s]  which is like a generic one that you're allowed to send.
[4218.42s -> 4220.04s]  Just because hey, maybe you want to send one
[4220.04s -> 4221.74s]  that's not a special one that says kill
[4221.74s -> 4225.82s]  or that says stop or says continue or whatever.
[4225.82s -> 4229.54s]  We will see lots of use of these as we go.
[4229.54s -> 4233.74s]  You can also send a signal to yourself,
[4233.74s -> 4238.54s]  which is you do by the raise system call,
[4238.54s -> 4241.34s]  which basically just takes the signal number you're trying
[4241.34s -> 4242.70s]  and it sends it to your own process.
[4242.70s -> 4246.48s]  It is exactly like saying kill with get PID
[4246.48s -> 4248.66s]  for your own PID signal number.
[4248.66s -> 4251.36s]  You could use either and they're interchangeable.
[4251.36s -> 4256.36s]  Okay, you can also get the value of,
[4259.16s -> 4263.44s]  you can change PID to not be the actual PID.
[4263.44s -> 4268.14s]  You can make it affect other processes
[4268.14s -> 4272.64s]  that are tangentially related to a particular process.
[4272.64s -> 4274.96s]  And you handle that with a thing called groups,
[4274.96s -> 4277.00s]  which I'm not going to go into right now.
[4277.00s -> 4282.00s]  But if you send a negative number less than one to kill,
[4284.00s -> 4286.38s]  it actually goes and finds the group
[4286.38s -> 4287.76s]  that's associated with that process.
[4287.76s -> 4288.88s]  What you can do with processes,
[4288.88s -> 4292.02s]  you can set them up such they're in same groups.
[4292.02s -> 4294.52s]  So if you want to send a signal to one process,
[4294.52s -> 4296.40s]  it can then, or it can,
[4296.40s -> 4298.92s]  if you want to send one kill signal,
[4298.92s -> 4301.44s]  it can go to a whole bunch of different processes.
[4301.44s -> 4302.96s]  So it's nice to have these groups.
[4302.96s -> 4305.86s]  We'll get into groups when you get to assignment four.
[4306.84s -> 4308.62s]  And then you can also be zero or negative one.
[4308.62s -> 4311.40s]  We're not going to worry about that for right now.
[4311.40s -> 4313.70s]  Okay, that was a lot of stuff.
[4316.70s -> 4319.50s]  You have assignment two due tomorrow,
[4319.50s -> 4323.42s]  assignment three will come out tomorrow morning.
[4323.42s -> 4325.14s]  I'll do it, release it first thing in the morning
[4325.14s -> 4328.04s]  for anybody who wants to get going on it.
[4328.04s -> 4331.48s]  And I will explain a little bit
[4331.48s -> 4334.62s]  about assignment three on Monday.
[4334.70s -> 4336.88s]  So if you want to get started on it,
[4336.88s -> 4338.54s]  well, maybe I'll do a little video.
[4338.54s -> 4341.26s]  I don't know when I'm going to do a little video.
[4341.26s -> 4342.62s]  But anyway, I will do some explaining
[4342.62s -> 4346.22s]  about assignment three on Monday.
[4346.22s -> 4348.84s]  All right, last minute questions on this stuff or otherwise?
[4348.84s -> 4349.68s]  Yeah.
[4351.20s -> 4353.00s]  Assignment three is actually going to be due
[4353.00s -> 4354.72s]  a week from Sunday.
[4354.72s -> 4357.02s]  So it's a little longer amount of time.
[4357.02s -> 4358.42s]  And then the next one is going to be out that day.
[4358.42s -> 4359.80s]  And then the midterm happens.
[4359.80s -> 4362.38s]  So you've got an extra time for the next one as well.
[4362.98s -> 4365.82s]  It's a little stretched out because midterms and so forth.
[4365.82s -> 4367.18s]  All right, see you guys Monday.
[4367.18s -> 4368.10s]  We're in lab.
[4368.10s -> 4369.38s]  Oh, that reminds me.
[4369.38s -> 4370.22s]  I totally forgot.
[4370.22s -> 4371.18s]  Sorry, one last thing.
[4373.06s -> 4375.14s]  So there are a lot of people who wanted to do
[4375.14s -> 4379.82s]  the Thursday, I forget which one, 3 p.m. lab.
[4379.82s -> 4381.98s]  We are adding another Thursday lab.
[4381.98s -> 4385.24s]  So we're changing one of the Thursday morning labs,
[4385.24s -> 4386.98s]  which not many people are in.
[4386.98s -> 4390.62s]  We're adding a Thursday afternoon lab.
[4390.62s -> 4393.14s]  We're going to combine the two Thursday morning ones.
[4393.14s -> 4394.52s]  And it's only like four or five extra people.
[4394.52s -> 4395.46s]  So it's not a big deal.
[4395.46s -> 4396.58s]  I will put that up later today.
[4396.58s -> 4399.14s]  So if you want to add the Thursday section,
[4399.14s -> 4400.46s]  if you don't like the section you're in,
[4400.46s -> 4402.78s]  an afternoon one, you'll be able to do that.
[4402.78s -> 4404.38s]  All right, see you guys later.
