# Detected language: en (p=1.00)

[0.00s -> 2.48s]  Welcome to Wednesday.
[3690.54s -> 3692.04s]  because the operating system goes,
[3692.04s -> 3693.38s]  oh, now you're accepting signals,
[3693.38s -> 3696.06s]  I've got one for you, and it calls it then.
[3696.06s -> 3698.78s]  Hopefully, this will actually,
[3701.70s -> 3704.70s]  see how this works, jobless synchronization.
[3704.70s -> 3706.90s]  And hopefully, there we go.
[3706.90s -> 3710.10s]  Now we actually are waiting for one second
[3710.10s -> 3711.94s]  and now the jobs are added
[3711.94s -> 3715.06s]  and then removed in the proper order.
[3715.06s -> 3715.88s]  Why?
[3715.88s -> 3716.94s]  Because we wouldn't, we didn't allow them
[3716.94s -> 3719.50s]  to be removed until they've been added.
[3719.50s -> 3720.60s]  And in this case, that just took,
[3720.60s -> 3723.26s]  it took us a little time to add it.
[3723.26s -> 3724.82s]  And that's the way it goes.
[3726.78s -> 3727.86s]  Question.
[3727.86s -> 3732.44s]  Yeah, the date gets printed before we have the job.
[3732.44s -> 3733.94s]  We don't really care about that
[3733.94s -> 3735.34s]  because we've said to the,
[3735.34s -> 3736.58s]  that's a good point though.
[3736.58s -> 3739.14s]  We said, hey, go run, right?
[3739.14s -> 3741.02s]  We're trying to do our own like adding,
[3741.02s -> 3742.24s]  we're trying to do our own bookkeeping,
[3742.24s -> 3744.06s]  but yeah, you're off and running, right?
[3744.06s -> 3745.26s]  Now, if you want to do that,
[3745.26s -> 3747.90s]  yeah, you wouldn't, if you needed to do that,
[3747.90s -> 3750.90s]  we would have done something like this.
[3750.90s -> 3753.12s]  If you said, wait, I don't even want date to run,
[3753.12s -> 3756.64s]  before we did the exec CVP, right?
[3756.64s -> 3759.28s]  Like we would have to, before we even forked,
[3759.28s -> 3761.60s]  we would have to then figure out like how to do,
[3761.60s -> 3762.44s]  you know, do that now.
[3762.44s -> 3765.24s]  This might actually, this also might be like an issue.
[3765.24s -> 3766.48s]  You can't, in this case,
[3766.48s -> 3769.36s]  we would have to do something else to try to figure out
[3769.36s -> 3770.28s]  like how to do,
[3770.28s -> 3774.02s]  how to wait to print until the parent has done it.
[3774.02s -> 3775.24s]  But once you've got a child and a parent,
[3775.24s -> 3777.12s]  they're kind of independent anyway.
[3777.12s -> 3779.00s]  So you're not really gonna wanna,
[3779.00s -> 3780.24s]  you're not gonna be able to wait
[3780.24s -> 3781.40s]  for the parent on the child.
[3781.40s -> 3782.76s]  The child is not really gonna be able to wait
[3782.76s -> 3784.80s]  for the parent itself.
[3784.80s -> 3786.74s]  So you've gotta be able to figure some other logic out
[3786.74s -> 3787.84s]  to do that.
[3787.84s -> 3788.98s]  Yeah.
[3788.98s -> 3790.38s]  Yeah.
[3790.38s -> 3791.22s]  Right.
[3791.22s -> 3793.60s]  Very good question.
[3793.60s -> 3794.64s]  The question was, wait,
[3794.64s -> 3798.88s]  is reprocesses also passed down to the child?
[3798.88s -> 3802.88s]  It certainly is, because it's part of the program.
[3802.88s -> 3804.04s]  Very good question.
[3804.04s -> 3805.08s]  The question was, wait,
[3805.08s -> 3808.80s]  is reprocesses also passed down to the child?
[3808.80s -> 3812.02s]  It certainly is, because it's part of the program, right?
[3812.02s -> 3814.96s]  So the child has access to all its own functions.
[3814.96s -> 3817.92s]  Now, the child's reprocess won't get called
[3817.92s -> 3821.58s]  when the child ends,
[3821.58s -> 3825.00s]  because it doesn't have a child that's ended.
[3825.00s -> 3826.08s]  That was a good inception, Mike.
[3826.08s -> 3828.16s]  You mentioned earlier how the might have a child process.
[3828.16s -> 3829.92s]  Yeah, yeah, right.
[3829.92s -> 3831.84s]  The date might have a child process,
[3831.84s -> 3834.00s]  in which case, then it would get called.
[3834.00s -> 3837.04s]  And in that case, we would have more job reform
[3837.04s -> 3838.00s]  than job access.
[3839.20s -> 3841.64s]  Because we never did a job at it.
[3841.64s -> 3842.92s]  Yeah, yeah, so the question was,
[3842.92s -> 3845.28s]  wait, wait, wait, if the date did have a child,
[3845.28s -> 3847.76s]  then this signal might get called.
[3847.76s -> 3852.30s]  Now, likely, the child would set up its own,
[3852.30s -> 3854.02s]  well, actually, that's a good point.
[3854.02s -> 3855.80s]  In this case, this one would have, sure,
[3855.80s -> 3857.08s]  it might have gotten called
[3857.08s -> 3859.52s]  if the child process had a child process.
[3859.52s -> 3862.38s]  Yeah, if the child process had a child process.
[3862.38s -> 3864.60s]  Yeah, the child's one would get called.
[3864.60s -> 3866.44s]  It wouldn't get added to the parent's job list.
[3866.48s -> 3869.04s]  It would get added to the child's job list.
[3869.04s -> 3871.92s]  Or I guess it would get removed from the child's job list.
[3871.92s -> 3873.20s]  So you would have to put more logic in there
[3873.20s -> 3874.58s]  if you cared about that.
[3874.58s -> 3875.96s]  Yeah, yeah, good point.
[3875.96s -> 3879.72s]  Yeah, what you could also do is you can basically say,
[3879.72s -> 3881.98s]  you can set up the signal.
[3881.98s -> 3885.32s]  You can say signal with a null value.
[3885.32s -> 3888.12s]  Well, basically, it's saying don't handle it anymore.
[3888.12s -> 3890.28s]  You could do that in the child if you cared about that.
[3890.28s -> 3892.28s]  We happen to not care about that for this part.
[3892.28s -> 3893.44s]  Good, very good, good point.
[3893.44s -> 3894.68s]  There are lots of things to think about
[3894.80s -> 3896.56s]  when you're building these real programs.
[3896.56s -> 3897.40s]  Yeah?
[3898.52s -> 3901.52s]  So sigblock, does that not allow the program
[3901.52s -> 3903.68s]  to receive signals or send signals?
[3903.68s -> 3905.28s]  It does not allow, good question.
[3905.28s -> 3907.40s]  The question was, does sigblock not allow
[3907.40s -> 3909.08s]  the program to receive signals or send it?
[3909.08s -> 3913.44s]  It doesn't allow the parent, in this case,
[3913.44s -> 3915.80s]  to receive that signal.
[3915.80s -> 3917.92s]  Its signal handler will not get called.
[3917.92s -> 3919.74s]  It may be queued up to get called later,
[3919.74s -> 3921.20s]  but it will not get called.
[3921.20s -> 3923.04s]  Yeah, good question.
[3923.04s -> 3923.88s]  Yeah?
[3924.04s -> 3925.60s]  Is there a limit to how many signals
[3925.60s -> 3930.60s]  the operating system will block and store?
[3930.80s -> 3931.64s]  Oh, good question.
[3931.64s -> 3935.12s]  Is there some list or some queue limit
[3935.12s -> 3936.40s]  on the number of signals?
[3936.40s -> 3937.68s]  I don't know of any.
[3937.68s -> 3939.72s]  It's probably big enough that it's not gonna matter.
[3939.72s -> 3941.36s]  Like, it's probably thousands,
[3941.36s -> 3942.76s]  and you probably likely won't be able
[3942.76s -> 3946.48s]  to even create thousands of children anyway or whatever.
[3946.48s -> 3948.30s]  So it's probably some limit
[3948.30s -> 3949.54s]  that we aren't gonna worry about.
[3949.54s -> 3950.64s]  Yeah, good question.
[3951.44s -> 3956.44s]  If we commented this out, it's gonna run exactly the same,
[3959.44s -> 3961.64s]  because the child isn't gonna get any children,
[3961.64s -> 3963.88s]  and it's not gonna matter anyway.
[3963.88s -> 3967.60s]  Although, if we ran another program that had children,
[3967.60s -> 3968.96s]  yeah, it probably would print
[3968.96s -> 3970.52s]  that some job has been added.
[3970.52s -> 3971.36s]  Well, that's weird.
[3971.36s -> 3972.84s]  Why would that happen, right?
[3972.84s -> 3975.88s]  But no, in this case, not gonna matter.
[3978.12s -> 3979.84s]  Did I delete the wrong one?
[3979.84s -> 3981.00s]  Oh, no, thank you for,
[3983.44s -> 3985.88s]  oh, you wanna do this one.
[3985.88s -> 3988.86s]  That one would just make you behave as it did before.
[3988.86s -> 3990.10s]  That one, thank you.
[3993.04s -> 3996.64s]  Job synchronization, yeah, same sort of thing.
[3996.64s -> 3999.24s]  No children for the children are getting,
[3999.24s -> 4000.08s]  calling that function.
[4000.08s -> 4001.68s]  But if you had one that did.
[4001.68s -> 4002.84s]  If you had one that did.
[4002.84s -> 4004.48s]  If you had one that did.
[4004.48s -> 4007.12s]  Right, if date had its own child process,
[4007.12s -> 4008.88s]  yeah, we probably would have gotten a weird printf
[4008.96s -> 4010.16s]  in there that said some other process
[4010.16s -> 4011.76s]  have been added to the job list.
[4011.76s -> 4014.22s]  So again, when you're trying to do these things,
[4014.22s -> 4017.00s]  you have to kind of keep track of some of the details
[4017.00s -> 4020.12s]  of these because it's tricky.
[4020.12s -> 4021.64s]  Yeah, good question.
[4021.64s -> 4022.48s]  Yeah.
[4022.48s -> 4024.72s]  Is there a way to remove the connection
[4024.72s -> 4028.88s]  between the function pointer and the signal?
[4028.88s -> 4029.92s]  Yeah, good question.
[4029.92s -> 4034.92s]  If you want to say, stop calling my signal handler,
[4035.80s -> 4037.88s]  I forget exactly what it is,
[4037.92s -> 4040.12s]  but it's another, you basically do signal.
[4040.12s -> 4043.16s]  And then instead of SIG child, it's like, no signal.
[4043.16s -> 4045.20s]  It's not that, but it's something like that.
[4045.20s -> 4046.44s]  I don't remember exactly what it is,
[4046.44s -> 4048.10s]  but that's what it is.
[4048.10s -> 4050.56s]  In fact, we can look it up.
[4050.56s -> 4055.56s]  If we do man signal, let's see, here we go.
[4057.40s -> 4058.86s]  Let's see, SIG, here we go.
[4058.86s -> 4063.12s]  SIGIGN means the signal is gonna get ignored.
[4063.12s -> 4067.28s]  Or SIGDFL means that the default action will happen.
[4068.40s -> 4070.52s]  You just pass that in the signal and it goes,
[4070.52s -> 4072.48s]  oh, all right, no more SIG child.
[4072.48s -> 4075.16s]  It's gonna be called in my process.
[4075.16s -> 4075.98s]  Good question.
[4078.36s -> 4080.24s]  Kind of nice when you have the manual right there,
[4080.24s -> 4081.12s]  your fingertips.
[4082.92s -> 4086.36s]  All right, so those are the signals there.
[4086.36s -> 4091.36s]  We have gone through the different types of signals.
[4091.76s -> 4093.60s]  We can actually write a little function
[4093.60s -> 4095.36s]  to kind of capture this instead of writing
[4095.36s -> 4097.52s]  each little part out individually.
[4098.04s -> 4100.36s]  In this case, we can write impose SIG child block,
[4100.36s -> 4102.32s]  which does sets up a set,
[4102.32s -> 4105.04s]  and then calls SIGPROCMAS to block,
[4105.04s -> 4107.16s]  and then we can do the exact lift one,
[4107.16s -> 4109.82s]  which does the same sort of thing except unblocks it.
[4109.82s -> 4111.96s]  You could also have one that toggles it if you want to,
[4111.96s -> 4113.16s]  and you'll see those functions.
[4113.16s -> 4115.94s]  We've written some of those functions for you there.
[4119.84s -> 4122.54s]  We already did this, the improved job list,
[4122.54s -> 4126.16s]  and what else can we say for it?
[4127.00s -> 4131.00s]  Yeah, as I said, fork process inherits the block signal sets,
[4131.00s -> 4133.32s]  so it should lift that signal
[4133.32s -> 4135.44s]  just in case the child cares about it,
[4135.44s -> 4137.28s]  and as people have already mentioned,
[4137.28s -> 4141.96s]  it probably should also get rid of that signal handler too
[4141.96s -> 4144.00s]  so it doesn't get called when the child ends
[4144.00s -> 4145.64s]  because that's not part of our program.
[4145.64s -> 4147.16s]  So again, things you have to think about
[4147.16s -> 4148.84s]  when you're building these for real.
[4148.84s -> 4150.32s]  You have to do lots and lots of testing
[4150.32s -> 4151.64s]  on this sort of stuff.
[4151.64s -> 4153.12s]  Okay, two more quick signal,
[4153.12s -> 4156.96s]  or two more quick system calls here.
[4156.96s -> 4160.28s]  Processes can send messages to other processes
[4160.28s -> 4162.24s]  without something happening.
[4162.24s -> 4165.26s]  You are allowed to send a signal to another process.
[4165.26s -> 4168.68s]  You do it using a slightly ill-defined command
[4168.68s -> 4170.16s]  called kill.
[4170.16s -> 4172.64s]  Now, kill was named because the only signal
[4172.64s -> 4175.60s]  that they originally sent was one to terminate a process.
[4175.60s -> 4177.24s]  Basically said, kill this process,
[4177.24s -> 4179.98s]  and it means make it stop running, right?
[4179.98s -> 4180.96s]  So that was the original, and then they said,
[4180.96s -> 4182.72s]  well, what if we want to send other signals?
[4182.72s -> 4183.76s]  Let's just keep kill.
[4183.76s -> 4185.28s]  Why didn't you call it send signal or something?
[4185.28s -> 4186.12s]  I don't know.
[4186.12s -> 4188.48s]  But they kept it as called kill, okay?
[4188.48s -> 4189.56s]  So it doesn't actually kill.
[4189.56s -> 4191.48s]  If you send a SIG kill, yes,
[4191.48s -> 4194.24s]  it will terminate the process,
[4194.24s -> 4199.20s]  but otherwise, you are allowed to give a PID,
[4199.20s -> 4201.72s]  send a particular signal, okay?
[4201.72s -> 4204.52s]  So if you want to send the SIG child signal
[4204.52s -> 4207.12s]  to a particular process, you can send it.
[4207.12s -> 4210.12s]  You can also send, I think there's two other ones
[4210.16s -> 4214.16s]  called like it's SIG, I think it's SIG USR1,
[4215.60s -> 4218.40s]  which is like a generic one that you're allowed to send,
[4218.40s -> 4220.04s]  just because, hey, maybe you want to send one
[4220.04s -> 4221.72s]  that's not a special one that says kill,
[4221.72s -> 4225.84s]  or that says stop, or that says continue, or whatever.
[4225.84s -> 4229.56s]  We will see lots of use of these as we go.
[4229.56s -> 4233.74s]  You can also send a signal to yourself,
[4233.74s -> 4238.52s]  which is you do by the raise system call,
[4238.52s -> 4241.36s]  which basically just takes the signal number you're trying
[4241.36s -> 4242.72s]  and it sends it to your own process.
[4242.72s -> 4246.48s]  It is exactly like saying kill with get PID
[4246.48s -> 4248.64s]  for your own PID signal number.
[4248.64s -> 4251.80s]  You could use either and they're interchangeable, okay?
[4254.06s -> 4259.06s]  You can also get the value of,
[4259.16s -> 4263.44s]  you can change PID to not be the actual PID.
[4263.44s -> 4268.14s]  You can make it affect other processes
[4268.98s -> 4272.66s]  that are tangentially related to a particular process.
[4272.66s -> 4274.98s]  And you handle that with a thing called groups,
[4274.98s -> 4276.98s]  which I'm not gonna go into right now.
[4276.98s -> 4281.98s]  But if you send a negative number less than one to kill,
[4284.02s -> 4286.38s]  it actually goes and finds the group
[4286.38s -> 4287.78s]  that's associated with that process.
[4287.78s -> 4288.86s]  What you can do with processes,
[4288.86s -> 4291.98s]  you can set them up such that they're in same group.
[4291.98s -> 4294.52s]  So if you want to send a signal to one process,
[4294.52s -> 4296.40s]  it can then, or it can,
[4296.40s -> 4298.92s]  if you want to send one kill signal,
[4298.92s -> 4301.44s]  it can go to a whole bunch of different processes.
[4301.44s -> 4302.96s]  So it's nice to have these groups.
[4302.96s -> 4305.84s]  We'll get into groups when you get to assignment four.
[4306.84s -> 4308.64s]  And then you can also be zero or negative one.
[4308.64s -> 4311.40s]  We're not gonna worry about that for right now.
[4311.40s -> 4313.72s]  Okay, that was a lot of stuff.
[4316.72s -> 4319.52s]  You have assignment two due tomorrow,
[4319.52s -> 4323.44s]  assignment three will come out tomorrow morning.
[4323.88s -> 4325.16s]  Release it first thing in the morning
[4325.16s -> 4327.20s]  for anybody who wants to get going on it.
[4328.08s -> 4331.52s]  And I will explain a little bit
[4331.52s -> 4334.66s]  about assignment three on Monday.
[4334.66s -> 4336.88s]  So if you wanna get started on it,
[4336.88s -> 4338.56s]  well, maybe I'll do a little video.
[4338.56s -> 4341.28s]  I don't know when I'm gonna do a little video.
[4341.28s -> 4342.62s]  But anyway, I will do some explaining
[4342.62s -> 4346.24s]  about assignment three on Monday.
[4346.24s -> 4348.84s]  All right, last minute questions on this stuff or otherwise?
[4348.84s -> 4349.68s]  Yeah.
[4349.84s -> 4353.00s]  So assignment three is actually gonna be due
[4353.00s -> 4354.72s]  a week from Sunday.
[4354.72s -> 4357.04s]  So it's a little longer amount of time.
[4357.04s -> 4358.40s]  And then the next one is gonna be out that day.
[4358.40s -> 4359.80s]  And then the midterm happens.
[4359.80s -> 4362.38s]  So you've got an extra time for the next one as well.
[4362.38s -> 4363.84s]  So it's a little stretched out
[4363.84s -> 4365.84s]  because midterms and so forth.
[4365.84s -> 4367.20s]  All right, see you guys Monday.
[4367.20s -> 4368.12s]  We're in lab.
[4368.12s -> 4370.04s]  Oh, that reminds me, I totally forgot.
[4370.04s -> 4371.24s]  Sorry, one last thing.
[4373.08s -> 4374.24s]  So there are a lot of people
[4374.24s -> 4377.04s]  who wanted to do the Thursday,
[4377.04s -> 4379.80s]  I forget which one, 3 p.m. lab.
[4379.80s -> 4381.96s]  We are adding another Thursday lab.
[4381.96s -> 4385.24s]  So we're changing like one of the Thursday morning labs,
[4385.24s -> 4386.98s]  which not many people are in.
[4386.98s -> 4390.60s]  We're adding a Thursday afternoon lab.
[4390.60s -> 4393.14s]  We're gonna combine the two Thursday morning ones.
[4393.14s -> 4394.52s]  And it's only like four or five extra people.
[4394.52s -> 4395.48s]  So it's not a big deal.
[4395.48s -> 4396.58s]  I will put that up later today.
[4396.58s -> 4399.16s]  So if you want to add the Thursday section,
[4399.16s -> 4400.44s]  you don't like the section you're in,
[4400.44s -> 4402.78s]  an afternoon one, you'll be able to do that.
[4402.78s -> 4404.44s]  All right, see you guys later.
