# Detected language: en (p=1.00)

[0.00s -> 1.48s]  Hello, hello.
[3810.52s -> 3814.36s]  And then if you happen to have a path which is too long,
[3814.36s -> 3816.60s]  we only allow a certain path with, that's fine.
[3816.60s -> 3817.76s]  Then it just kind of says, I'm done.
[3817.76s -> 3819.52s]  I'm not gonna go any farther than that.
[3819.52s -> 3820.60s]  Too bad for you.
[3820.60s -> 3822.68s]  And then it copies the actual name
[3822.68s -> 3825.80s]  onto the end of the path after that slash.
[3825.80s -> 3830.20s]  And then it does the LSTAT command again,
[3830.20s -> 3831.84s]  checks if it's a regular file.
[3831.84s -> 3833.56s]  If it's a regular file,
[3833.56s -> 3837.10s]  it does a string comparison on that file.
[3837.10s -> 3839.38s]  And then if it comes out with zero,
[3839.38s -> 3840.54s]  meaning they're the same,
[3840.54s -> 3842.60s]  then it will actually print out the path.
[3842.60s -> 3845.16s]  And that's how it actually finds it, okay?
[3845.16s -> 3847.40s]  If it's a directory, what does it have to do?
[3847.40s -> 3850.60s]  It has to recursively call list matches
[3850.60s -> 3852.84s]  because then it needs to traverse through the list.
[3852.84s -> 3854.74s]  So it's a recursive program,
[3854.74s -> 3857.34s]  but really it's not that,
[3857.34s -> 3860.84s]  it's just looking through a set of directories to do that.
[3863.26s -> 3864.10s]  Question.
[3864.10s -> 3865.48s]  What is a regular file?
[3865.48s -> 3867.50s]  Yeah, a regular file is not a link.
[3867.50s -> 3870.06s]  It's basically a file that has data inside it.
[3870.06s -> 3872.46s]  A link is a file that refers to another file.
[3872.46s -> 3875.54s]  So the data inside of it refers to the other file
[3875.54s -> 3878.90s]  and the operating system needs to know
[3878.90s -> 3881.18s]  whether or not it's an alias or a link
[3881.18s -> 3884.54s]  or a regular file so that it can travel down those or not.
[3885.22s -> 3887.42s]  What other questions do you have on this one,
[3887.42s -> 3888.34s]  on this program?
[3889.94s -> 3890.78s]  Yeah?
[3890.78s -> 3895.54s]  Why do we use the else that instead of just the...
[3895.54s -> 3897.42s]  Yeah, what did we say the difference was?
[3897.42s -> 3898.66s]  It was just a matter of length.
[3898.66s -> 3900.66s]  Like, do we expect that link?
[3900.66s -> 3902.02s]  You might have links, yeah.
[3902.02s -> 3902.86s]  You can certainly have links.
[3902.86s -> 3905.48s]  In fact, your assignment has links in it.
[3905.48s -> 3908.30s]  Let me show you a link in your assignment.
[3908.30s -> 3912.38s]  If you go to, let's see.
[3912.38s -> 3916.78s]  Whoops, let's go to assignment, assignment one.
[3918.02s -> 3922.06s]  Let's see, I think, starter maybe?
[3922.06s -> 3922.90s]  There we go, okay.
[3922.90s -> 3927.90s]  If we go into here and if you look at dash L, okay?
[3929.46s -> 3931.82s]  Take a look at samples down here.
[3933.94s -> 3935.42s]  What's going on there?
[3935.42s -> 3938.86s]  It says samples has this little weird arrow
[3938.90s -> 3942.30s]  that points to slash AFS slash IRS class CS110
[3942.30s -> 3943.98s]  samples assignment one.
[3944.94s -> 3947.32s]  And by the way, if we go into samples,
[3947.32s -> 3948.16s]  let's take a look.
[3948.16s -> 3951.30s]  Now we're actually in that file.
[3951.30s -> 3953.82s]  If we look at it, we've got an actor data file
[3953.82s -> 3955.48s]  and a movie data file.
[3955.48s -> 3958.02s]  And those two files are ginormous.
[3958.02s -> 3959.86s]  And what it means is if you put a link
[3959.86s -> 3963.54s]  in your assignment file to this regular file,
[3963.54s -> 3965.12s]  none of you are gonna change these files.
[3965.12s -> 3966.86s]  You're not even allowed to, as it turns out.
[3967.30s -> 3969.54s]  You can't change them because it'll read only for you.
[3969.54s -> 3971.28s]  But it means that everybody in the class
[3971.28s -> 3973.58s]  can get access to this one gigantic file
[3973.58s -> 3975.56s]  through a link so that it doesn't have,
[3975.56s -> 3976.76s]  so that you don't have to make copies
[3976.76s -> 3977.90s]  of them for everybody.
[3977.90s -> 3979.30s]  You would quickly run out of space
[3979.30s -> 3981.40s]  if we tried to make 80 gigabyte file
[3981.40s -> 3984.10s]  or 80 megabyte files for everybody or whatever.
[3984.10s -> 3986.38s]  Yeah, 800 megabyte files, whatever.
[3986.38s -> 3987.58s]  Other questions on that?
[3987.58s -> 3988.42s]  Good question.
[3988.42s -> 3989.26s]  Did that answer it?
[3989.26s -> 3990.86s]  Okay, great.
[3990.86s -> 3991.90s]  All right.
[3991.90s -> 3996.22s]  So that's how the stat and Lstat works.
[3996.26s -> 3998.78s]  Again, the reason we did this example
[3998.78s -> 4000.38s]  was to show you that you can use Lstat
[4000.38s -> 4003.26s]  to get whether something's a file or a directory.
[4003.26s -> 4005.64s]  Okay, you can, or stats do that.
[4005.64s -> 4007.34s]  You can also do that with other,
[4008.26s -> 4010.36s]  there's other things that you might care about,
[4010.36s -> 4012.04s]  like for next assignment, you'll care about
[4012.04s -> 4016.50s]  some other pieces of that structure.
[4018.50s -> 4019.32s]  All right.
[4020.88s -> 4025.88s]  We relied on Opender, which basically says,
[4025.88s -> 4026.88s]  oh, it's a directory.
[4026.88s -> 4028.56s]  We had to do an assertion in there that says,
[4028.56s -> 4030.74s]  don't try to open a directory that's a file.
[4030.74s -> 4031.74s]  You have to figure that out.
[4031.74s -> 4034.24s]  Okay, you have to make sure you do that.
[4034.24s -> 4037.40s]  And then you get all of these different
[4037.40s -> 4040.24s]  directory entries by walking through that
[4041.54s -> 4044.04s]  reader call, okay?
[4044.04s -> 4046.76s]  And again, you probably did this in 107.
[4046.76s -> 4048.24s]  You probably did an assignment about that,
[4048.24s -> 4049.12s]  but it's not too bad.
[4049.12s -> 4051.24s]  It's just recall, call that function
[4051.24s -> 4052.08s]  again and again and again,
[4052.08s -> 4053.12s]  and it gives you the next directory,
[4053.16s -> 4056.36s]  the next file, the next token, or the next directory.
[4056.36s -> 4058.92s]  Okay, let's see, what else?
[4058.92s -> 4059.76s]  Here it is.
[4059.76s -> 4060.60s]  Here's your answer to your question.
[4060.60s -> 4061.42s]  We used lstat instead of stat,
[4061.42s -> 4063.16s]  so we know whether it's really a link,
[4063.16s -> 4064.82s]  and we're gonna ignore links in this case.
[4064.82s -> 4066.64s]  You can have links that are recursive,
[4066.64s -> 4069.16s]  like that refer back to something earlier
[4069.16s -> 4071.48s]  in the file system, and so if you did that,
[4071.48s -> 4072.52s]  you might have a problem,
[4072.52s -> 4073.76s]  because you traversed on a link,
[4073.76s -> 4075.28s]  and then it might come back to where you were,
[4075.28s -> 4076.28s]  and then you didn't end up in this
[4076.28s -> 4079.68s]  recursive loop forever, and that would be probably bad.
[4079.92s -> 4083.88s]  Okay, and I went over the other details about all this.
[4083.88s -> 4088.16s]  You should, as always, remember to close your directories.
[4089.24s -> 4092.16s]  Okay, anything else on those?
[4096.88s -> 4099.84s]  All right, there's another function
[4099.84s -> 4102.58s]  that we'll briefly look at called list,
[4102.58s -> 4104.64s]  which is basically ls, right?
[4104.64s -> 4105.96s]  And ls does what?
[4105.96s -> 4108.80s]  ls actually lists all the stuff in your directory.
[4108.84s -> 4109.68s]  Well, guess what?
[4109.68s -> 4111.20s]  It has to do basically the same sort of thing.
[4111.20s -> 4113.92s]  It needs to read through all of the directory entries
[4113.92s -> 4115.94s]  and get the information out about it.
[4115.94s -> 4118.24s]  It needs to get the permissions, by the way.
[4118.24s -> 4120.00s]  It needs to get whether or not it's a directory,
[4120.00s -> 4125.00s]  and it needs to populate these parts of it right here.
[4125.56s -> 4128.44s]  It also needs to tell how big,
[4128.44s -> 4132.36s]  or how many other, what we call hard links,
[4132.36s -> 4133.52s]  refer to a file.
[4133.52s -> 4135.06s]  That's another topic we'll get to,
[4135.06s -> 4136.64s]  I guess on Friday or next week.
[4136.64s -> 4138.40s]  But basically, you can have one file
[4138.94s -> 4141.68s]  which lots of things point to in two different ways,
[4141.68s -> 4143.92s]  and the list will actually tell you
[4143.92s -> 4146.24s]  how many of those exist.
[4146.24s -> 4147.40s]  Okay, it needs to get the name,
[4147.40s -> 4149.84s]  and it needs to get the date it was created,
[4149.84s -> 4151.42s]  and so forth, okay?
[4151.42s -> 4155.48s]  Those details are a little bit like down in the weeds,
[4155.48s -> 4157.52s]  but you can do that, okay?
[4157.52s -> 4160.74s]  If you wanna look at the entire list.c function,
[4160.74s -> 4161.58s]  you can do that.
[4161.58s -> 4164.28s]  On the key one, I will show you right here.
[4165.28s -> 4166.60s]  This is the permissions one.
[4166.60s -> 4170.12s]  How do you get the permissions for a particular file?
[4170.12s -> 4171.38s]  Okay, well, let's see.
[4172.36s -> 4176.46s]  Okay, what we need to do is we need to,
[4177.44s -> 4179.08s]  there's a lot of code in this one, right?
[4179.08s -> 4181.16s]  We basically need to,
[4181.16s -> 4184.62s]  here's the list permissions right down here, okay?
[4184.62s -> 4186.92s]  It needs to find, and there's details about this
[4186.92s -> 4187.80s]  that you don't really need to know,
[4187.80s -> 4192.80s]  but it basically says set all the permissions to dash, okay?
[4193.80s -> 4198.80s]  And then go ahead and look through each directory, right?
[4198.92s -> 4202.10s]  And check the permissions of each directory,
[4202.10s -> 4204.28s]  and if it's a directory, you put D in it,
[4204.28s -> 4209.28s]  and otherwise, you go through all the permissions
[4209.72s -> 4213.20s]  for each one of the various permissions
[4213.20s -> 4214.36s]  that you might have.
[4214.36s -> 4215.90s]  So you have to go through each one of those,
[4215.90s -> 4218.36s]  go look, can the user, can the owner read,
[4218.36s -> 4220.36s]  can the owner write, can the owner execute?
[4220.36s -> 4221.20s]  Set that up.
[4221.20s -> 4222.68s]  Can the other do the same thing?
[4223.44s -> 4225.04s]  And can the group do the same thing, right?
[4225.04s -> 4227.16s]  Details, you have to kind of go through all these details
[4227.16s -> 4229.56s]  when you're writing this low-level code.
[4229.56s -> 4233.32s]  That's kind of the way it goes in this case, okay?
[4233.32s -> 4235.32s]  And let's see, is there anything else important here?
[4235.32s -> 4238.28s]  Here are some flags that you can use
[4238.28s -> 4242.00s]  for all of the different files, right?
[4242.00s -> 4246.28s]  S-I-R, user, that's a macro that basically says
[4246.28s -> 4250.16s]  check and see if the user can write,
[4250.16s -> 4254.20s]  or the user can read, or the user can write.
[4254.20s -> 4255.96s]  Nine different things to check for,
[4255.96s -> 4260.56s]  because there's three for each owner, group, and user.
[4260.56s -> 4263.64s]  Lot to do if you're trying to do all of this one by one.
[4265.64s -> 4267.52s]  It's kind of amazing what LS can do.
[4267.52s -> 4269.26s]  It has to go through all these details
[4269.26s -> 4273.22s]  if you're doing systems type stuff, okay?
[4273.22s -> 4275.92s]  The list permissions function itself
[4275.92s -> 4279.44s]  prints out those permissions, and this is,
[4279.48s -> 4282.48s]  hang on, I think the next, oh, no, that's,
[4282.48s -> 4284.00s]  yeah, here we go.
[4284.00s -> 4285.68s]  Oh, no, that's it, right, that was all of it right there.
[4285.68s -> 4287.56s]  That's the list permissions, and the stuff up here
[4287.56s -> 4291.24s]  is kind of all of the setup for it, okay?
[4291.24s -> 4293.12s]  Anyway, go look at the code for this
[4293.12s -> 4297.80s]  if you wanna see how all these macros and things work.
[4297.80s -> 4299.58s]  We won't necessarily make you code
[4299.58s -> 4301.28s]  all this kind of low-level thing.
[4301.28s -> 4303.24s]  You should just know how these things work
[4303.24s -> 4304.80s]  so that you understand how permissions work
[4304.80s -> 4305.84s]  and that there are macros
[4305.84s -> 4307.86s]  and there is this struct that you have to use
[4307.86s -> 4310.80s]  and so forth, okay?
[4310.80s -> 4313.80s]  All right, what questions do you have at this point
[4313.80s -> 4315.84s]  about any of that that we've covered?
[4317.22s -> 4320.12s]  The assignment is due next Wednesday.
[4321.28s -> 4323.68s]  It is due absolutely on Wednesday.
[4323.68s -> 4325.82s]  There's no late days for this assignment
[4325.82s -> 4327.36s]  just because we want you to get going
[4327.36s -> 4328.56s]  on the next assignment and we wanna grade
[4328.56s -> 4330.66s]  the first assignment as quickly as we can.
[4331.62s -> 4334.12s]  Office hours, I have office hours tomorrow morning,
[4334.16s -> 4336.28s]  10 to 12, I believe.
[4336.28s -> 4338.72s]  Stop by if you want, and then we will get the,
[4338.72s -> 4340.68s]  I will send a message out to the CAs.
[4340.68s -> 4342.60s]  They're gonna start some office hours
[4342.60s -> 4344.80s]  probably tomorrow or Friday.
[4344.80s -> 4346.64s]  They will go through on Saturday,
[4346.64s -> 4349.08s]  or sorry, Friday and Sunday at least,
[4349.08s -> 4351.00s]  and then next week as well.
[4351.00s -> 4352.92s]  All right, I'll stick around for a few more minutes
[4352.92s -> 4354.52s]  and we'll see you on Friday.
[4354.52s -> 4357.20s]  There is class this Friday, no labs, class Friday.
