# Detected language: en (p=1.00)

[0.00s -> 6.00s]  And can everybody see my screen or the whiteboard that I shared?
[5283.00s -> 5284.00s]  group commits.
[5284.00s -> 5285.00s]  Yeah.
[5285.00s -> 5286.00s]  I was trying
[5286.00s -> 5287.00s]  to think of,
[5287.00s -> 5288.00s]  like I think
[5288.00s -> 5289.00s]  I kind of
[5289.00s -> 5290.00s]  understand it
[5290.00s -> 5291.00s]  a halo what
[5291.00s -> 5292.00s]  I was trying
[5292.00s -> 5293.00s]  to make sure
[5293.00s -> 5294.00s]  like I
[5294.00s -> 5295.00s]  understand a
[5295.00s -> 5296.00s]  little bit
[5296.00s -> 5297.00s]  about how
[5297.00s -> 5298.00s]  the group
[5298.00s -> 5299.00s]  demonstrates it.
[5299.00s -> 5300.00s]  It's like,
[5300.00s -> 5301.00s]  I guess I
[5301.00s -> 5302.00s]  was thinking
[5302.00s -> 5303.00s]  of like a
[5303.00s -> 5304.00s]  situation where
[5304.00s -> 5305.00s]  you have
[5305.00s -> 5306.00s]  say like
[5306.00s -> 5307.00s]  this might be
[5307.00s -> 5308.00s]  convoluted like
[5308.00s -> 5309.00s]  one process
[5309.00s -> 5310.00s]  generating a
[5310.00s -> 5311.00s]  stream of
[5311.00s -> 5312.00s]  like numbers
[5312.00s -> 5313.00s]  like one
[5313.00s -> 5314.00s]  through n and
[5314.00s -> 5315.00s]  then two
[5315.00s -> 5316.00s]  processes
[5316.00s -> 5317.00s]  consuming
[5317.00s -> 5318.00s]  that maybe
[5318.00s -> 5319.00s]  they're
[5319.00s -> 5320.00s]  listening on
[5320.00s -> 5321.00s]  the same pipe
[5321.00s -> 5322.00s]  and say
[5322.00s -> 5323.00s]  like n
[5323.00s -> 5324.00s]  like stops
[5324.00s -> 5325.00s]  the even
[5325.00s -> 5326.00s]  numbers and
[5326.00s -> 5327.00s]  if you didn't
[5327.00s -> 5328.00s]  have group
[5328.00s -> 5329.00s]  commits so
[5329.00s -> 5330.00s]  like the
[5330.00s -> 5331.00s]  correct
[5331.00s -> 5332.00s]  behavior is
[5332.00s -> 5333.00s]  and say
[5333.00s -> 5334.00s]  they're
[5334.00s -> 5335.00s]  printing out
[5335.00s -> 5336.00s]  or like
[5336.00s -> 5337.00s]  they're
[5337.00s -> 5338.00s]  writing these
[5338.00s -> 5339.00s]  to the
[5339.00s -> 5340.00s]  same file
[5340.00s -> 5341.00s]  and so the
[5341.00s -> 5342.00s]  correct
[5342.00s -> 5343.00s]  behavior would
[5343.00s -> 5344.00s]  be at the
[5344.00s -> 5345.00s]  end of at
[5345.00s -> 5346.00s]  the end of
[5346.00s -> 5347.00s]  all this you
[5347.00s -> 5348.00s]  would expect
[5348.00s -> 5349.00s]  the file to
[5349.00s -> 5350.00s]  have like
[5350.00s -> 5351.00s]  an even
[5351.00s -> 5352.00s]  number like
[5352.00s -> 5353.00s]  the last
[5353.00s -> 5354.00s]  one and
[5354.00s -> 5355.00s]  so you actually
[5355.00s -> 5356.00s]  see nine is
[5356.00s -> 5357.00s]  this like a
[5357.00s -> 5358.00s]  correct example
[5358.00s -> 5359.00s]  of why this
[5359.00s -> 5360.00s]  is important
[5360.00s -> 5361.00s]  I think I
[5361.00s -> 5362.00s]  have to think
[5362.00s -> 5363.00s]  a little bit
[5363.00s -> 5364.00s]  more carefully
[5364.00s -> 5365.00s]  about it
[5365.00s -> 5366.00s]  but that is
[5366.00s -> 5367.00s]  definitely the
[5367.00s -> 5368.00s]  flavor of
[5368.00s -> 5369.00s]  the problem
[5369.00s -> 5370.00s]  that you might
[5370.00s -> 5371.00s]  run into if
[5371.00s -> 5372.00s]  you reorder
[5372.00s -> 5373.00s]  system calls
[5373.00s -> 5374.00s]  okay okay
[5374.00s -> 5375.00s]  I think I
[5375.00s -> 5376.00s]  have a
[5376.00s -> 5377.00s]  concrete example
[5377.00s -> 5378.00s]  in the lecture
[5378.00s -> 5379.00s]  notes okay
[5379.00s -> 5380.00s]  in the lecture
[5380.00s -> 5381.00s]  notes you
[5381.00s -> 5382.00s]  know the shell
[5382.00s -> 5383.00s]  is really an
[5383.00s -> 5384.00s]  issue that
[5384.00s -> 5385.00s]  transactions need
[5385.00s -> 5386.00s]  to be committed
[5386.00s -> 5387.00s]  in order
[5387.00s -> 5388.00s]  I see and
[5388.00s -> 5389.00s]  if you didn't
[5389.00s -> 5390.00s]  have group
[5390.00s -> 5391.00s]  commit then
[5391.00s -> 5392.00s]  yeah
[5392.00s -> 5393.00s]  people might
[5393.00s -> 5394.00s]  think like
[5394.00s -> 5395.00s]  well what
[5395.00s -> 5396.00s]  I should do
[5396.00s -> 5397.00s]  if you didn't
[5397.00s -> 5398.00s]  have group
[5398.00s -> 5399.00s]  commit then
[5399.00s -> 5400.00s]  there's a
[5400.00s -> 5401.00s]  temptation to
[5401.00s -> 5402.00s]  basically you
[5402.00s -> 5403.00s]  know commit
[5403.00s -> 5404.00s]  some later
[5404.00s -> 5405.00s]  transaction because
[5405.00s -> 5406.00s]  it's already
[5406.00s -> 5407.00s]  finished but
[5407.00s -> 5408.00s]  the first one
[5408.00s -> 5409.00s]  isn't finished
[5409.00s -> 5410.00s]  yet and to
[5410.00s -> 5411.00s]  create space
[5411.00s -> 5412.00s]  let's let's
[5412.00s -> 5413.00s]  just example
[5413.00s -> 5414.00s]  I think you
[5414.00s -> 5415.00s]  know shell
[5415.00s -> 5416.00s]  command where
[5416.00s -> 5417.00s]  sort of illustrates
[5417.00s -> 5418.00s]  that like ordering
[5418.00s -> 5419.00s]  is important
[5419.00s -> 5420.00s]  okay
[5420.00s -> 5421.00s]  it doesn't
[5421.00s -> 5422.00s]  tie it directly
[5422.00s -> 5423.00s]  to group
[5423.00s -> 5424.00s]  commit but
[5424.00s -> 5425.00s]  it usually
[5425.00s -> 5426.00s]  basically makes
[5426.00s -> 5427.00s]  the point that
[5427.00s -> 5428.00s]  ordering the
[5428.00s -> 5429.00s]  system calls
[5429.00s -> 5430.00s]  is important
[5430.00s -> 5431.00s]  I see is
[5431.00s -> 5432.00s]  this in the
[5432.00s -> 5433.00s]  the like
[5433.00s -> 5434.00s]  the text
